"可用","文件名","格式","时长秒","编码","原因","路径"
"可用","海凌工作室 - 都市快节奏.flac","flac","186.27","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 都市快节奏.flac"
"不可用","海凌工作室 - 独角兽的梦境.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 独角兽的梦境.mgg"
"不可用","海凌工作室 - 对决.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 对决.mgg"
"可用","海凌工作室 - 钢焰冲击.flac","flac","198.07","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 钢焰冲击.flac"
"可用","海凌工作室 - 光辉dimo.ogg","ogg","241.95","vorbis","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 光辉dimo.ogg"
"可用","海凌工作室 - 光之dimo·大暑.flac","flac","212.93","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 光之dimo·大暑.flac"
"不可用","海凌工作室 - 光之破晓·dimo.mflac","mflac",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 光之破晓·dimo.mflac"
"不可用","海凌工作室 - 虹彩之鳍的轻舞.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 虹彩之鳍的轻舞.mgg"
"不可用","海凌工作室 - 幻光中的晨霜.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 幻光中的晨霜.mgg"
"不可用","海凌工作室 - 极光下的冰凌.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 极光下的冰凌.mgg"
"可用","海凌工作室 - 节奏.flac","flac","110.48","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 节奏.flac"
"不可用","海凌工作室 - 倦归时分.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 倦归时分.mgg"
"可用","海凌工作室 - 科幻科技.flac","flac","157.06","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 科幻科技.flac"
"不可用","海凌工作室 - 冷硬与柔软在此交汇.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 冷硬与柔软在此交汇.mgg"
"可用","海凌工作室 - 烈日深渊.flac","flac","132.12","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 烈日深渊.flac"
"不可用","海凌工作室 - 洛克王国：世界 登陆音乐.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 洛克王国：世界 登陆音乐.mgg"
"不可用","海凌工作室 - 猫头鹰会守护夜的安然.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 猫头鹰会守护夜的安然.mgg"
"不可用","海凌工作室 - 暮色的灯塔.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 暮色的灯塔.mgg"
"不可用","海凌工作室 - 宁静栖息.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 宁静栖息.mgg"
"不可用","海凌工作室 - 破晓dimo.mflac","mflac",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 破晓dimo.mflac"
"可用","海凌工作室 - 破晓光焰·dimo无双.flac","flac","218.31","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 破晓光焰·dimo无双.flac"
"不可用","海凌工作室 - 启程时刻.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 启程时刻.mgg"
"不可用","海凌工作室 - 热血dimo.mflac","mflac",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 热血dimo.mflac"
"不可用","海凌工作室 - 圣光dimo 破晓之至.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 圣光dimo 破晓之至.mgg"
"不可用","海凌工作室 - 圣光破晓.mflac","mflac",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 圣光破晓.mflac"
"不可用","海凌工作室 - 石桥的风霜.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 石桥的风霜.mgg"
"不可用","海凌工作室 - 守卫共荣的小镇.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 守卫共荣的小镇.mgg"
"不可用","海凌工作室 - 暑光破晓.mflac","mflac",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 暑光破晓.mflac"
"不可用","海凌工作室 - 曙光.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 曙光.mgg"
"不可用","海凌工作室 - 树影的怀抱.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 树影的怀抱.mgg"
"不可用","海凌工作室 - 思念和大海一样又深又长.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 思念和大海一样又深又长.mgg"
"不可用","海凌工作室 - 先贤传颂的箴言.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 先贤传颂的箴言.mgg"
"不可用","海凌工作室 - 星芒编织的命运.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 星芒编织的命运.mgg"
"可用","海凌工作室 - 血界轰鸣.flac","flac","107.6","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 血界轰鸣.flac"
"不可用","海凌工作室 - 夜色正酣，炉火正旺.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 夜色正酣，炉火正旺.mgg"
"不可用","海凌工作室 - 幽影的呼唤.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 幽影的呼唤.mgg"
"不可用","海凌工作室 - 原野的风车.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 原野的风车.mgg"
"不可用","海凌工作室 - 月光下无人知你名.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 月光下无人知你名.mgg"
"不可用","海凌工作室 - 障眼法·怪谈社.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 障眼法·怪谈社.mgg"
