"rank","number","name","hp","stats_total","physical_attack","magic_attack","physical_defense","magic_defense","speed","image_url","source_url"
"39","011","鸭吉吉（急急急鸭）","130","470","95","35","55","45","110","https://patchwiki.biligame.com/images/rocom/6/6f/7sidri1o3ke9cih06jlecsl5g9pqexq.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E6%80%A5%E6%80%A5%E6%80%A5%E9%B8%AD%EF%BC%89"
"40","273","深蓝鲸","129","588","40","115","119","135","50","https://patchwiki.biligame.com/images/rocom/4/4c/eonvrfjw5xrztsmkzmwz4eutdi7oban.png","https://wiki.biligame.com/rocom/%E6%B7%B1%E8%93%9D%E9%B2%B8"
"41","281","混乱鱿彩","129","576","105","42","131","99","70","https://patchwiki.biligame.com/images/rocom/8/89/co25joc1fbw7yk3t67uwo91xx3czmuj.png","https://wiki.biligame.com/rocom/%E6%B7%B7%E4%B9%B1%E9%B1%BF%E5%BD%A9"
"42","368","咕德帽帽","128","642","92","90","137","95","100","https://patchwiki.biligame.com/images/rocom/b/b2/bz0anm1rgidlncbl96oh2tct3sypavw.png","https://wiki.biligame.com/rocom/%E5%92%95%E5%BE%B7%E5%B8%BD%E5%B8%BD"
"43","321","利灯鱼","128","626","68","138","71","116","105","https://patchwiki.biligame.com/images/rocom/f/f0/q3g76bthejmlv9o6phrchq0cpdlfzhy.png","https://wiki.biligame.com/rocom/%E5%88%A9%E7%81%AF%E9%B1%BC"
"44","092","锤头鹳","128","567","77","75","101","81","105","https://patchwiki.biligame.com/images/rocom/c/c8/0kv8ab3s5umo3dbcwsthu9xnpo9y1fc.png","https://wiki.biligame.com/rocom/%E9%94%A4%E5%A4%B4%E9%B9%B3"
"45","316","熔岩布丁","128","564","87","33","112","84","120","https://patchwiki.biligame.com/images/rocom/0/0c/fak6xe7fad7bxuiybj40jzr2mc5yueq.png","https://wiki.biligame.com/rocom/%E7%86%94%E5%B2%A9%E5%B8%83%E4%B8%81"
"46","259","迷你乌（极夜的样子）","128","498","126","73","85","46","40","https://patchwiki.biligame.com/images/rocom/7/79/oh8iteeptmtlukbmp3fsu3chacsvfte.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E4%BD%A0%E4%B9%8C%EF%BC%88%E6%9E%81%E5%A4%9C%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"47","355","雪怪","126","636","107","99","98","131","75","https://patchwiki.biligame.com/images/rocom/9/99/d6u149ckn7clje7g6gr0a2je0ve8g51.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E6%80%AA"
"48","322","月牙雪熊","126","586","97","39","141","103","80","https://patchwiki.biligame.com/images/rocom/5/5d/ryftchx8p9yr4x4btchi33ly8htiao9.png","https://wiki.biligame.com/rocom/%E6%9C%88%E7%89%99%E9%9B%AA%E7%86%8A"
"49","191","棋祈督（白子）","126","547","87","87","90","72","85","https://patchwiki.biligame.com/images/rocom/6/69/o85fkrungproeat6rco9guv5ptjw80t.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E7%A5%88%E7%9D%A3%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89"
"50","191","棋祈督（黑子）","126","547","87","87","90","72","85","https://patchwiki.biligame.com/images/rocom/2/21/e64yhkunfi95tvxumu4608o41ahk2v5.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E7%A5%88%E7%9D%A3%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89"
"51","061","贪食鼹","126","449","74","33","94","54","68","https://patchwiki.biligame.com/images/rocom/d/d1/ps5nra6q9tzlnl4s6tkz4g5eejsr497.png","https://wiki.biligame.com/rocom/%E8%B4%AA%E9%A3%9F%E9%BC%B9"
"52","029","迷嶂布莱克","125","704","139","52","164","154","70","https://patchwiki.biligame.com/images/rocom/8/80/dyd0s9we1cd554cbcxlq27vvrgwo8mw.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E5%B6%82%E5%B8%83%E8%8E%B1%E5%85%8B"
"53","010","圣水守护","125","667","67","141","104","145","85","https://patchwiki.biligame.com/images/rocom/f/f5/fzch3e2qtlrly3p0mvgoc4287dgt2gf.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E6%B0%B4%E5%AE%88%E6%8A%A4"
"54","090","翠顶夫人","125","656","95","86","138","97","115","https://patchwiki.biligame.com/images/rocom/8/8d/0mse3bf6b98dflfbq9bwjeofgi8lo24.png","https://wiki.biligame.com/rocom/%E7%BF%A0%E9%A1%B6%E5%A4%AB%E4%BA%BA"
"55","010","水灵","125","621","58","127","94","132","85","https://patchwiki.biligame.com/images/rocom/5/50/33by7ml0nsrsxxq1l8l2uj4izqnuwpd.png","https://wiki.biligame.com/rocom/%E6%B0%B4%E7%81%B5"
"56","238","月亮砣（上弦的样子）","125","609","100","98","100","81","105","https://patchwiki.biligame.com/images/rocom/5/57/g05gs80tzawvv41wkfo6r8cuf1tuue9.png","https://wiki.biligame.com/rocom/%E6%9C%88%E4%BA%AE%E7%A0%A3%EF%BC%88%E4%B8%8A%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"57","238","月亮砣（下弦的样子）","125","609","98","100","81","100","105","https://patchwiki.biligame.com/images/rocom/6/68/sqgnlms9lse6u196qh3t2esffja5d9e.png","https://wiki.biligame.com/rocom/%E6%9C%88%E4%BA%AE%E7%A0%A3%EF%BC%88%E4%B8%8B%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"58","031","叮叮恶魔","125","598","140","70","89","69","105","https://patchwiki.biligame.com/images/rocom/0/0b/o9iqtz0rdzb2rkqkewx4v29qya3rknq.png","https://wiki.biligame.com/rocom/%E5%8F%AE%E5%8F%AE%E6%81%B6%E9%AD%94"
"59","288","泥吼牙","124","569","112","41","109","88","95","https://patchwiki.biligame.com/images/rocom/f/f0/imncv1vv01zbrx7tkjij3xtarmhl2id.png","https://wiki.biligame.com/rocom/%E6%B3%A5%E5%90%BC%E7%89%99"
"60","130","怖哭菇","124","466","63","69","50","100","60","https://patchwiki.biligame.com/images/rocom/7/77/0vwsiij65kn8tbfm24x0zxekycspl5d.png","https://wiki.biligame.com/rocom/%E6%80%96%E5%93%AD%E8%8F%87"
"61","138","獠牙猪","123","579","119","41","110","101","85","https://patchwiki.biligame.com/images/rocom/e/e7/9k7bizwcoun5u7cvgvqgchfd9dmyxou.png","https://wiki.biligame.com/rocom/%E7%8D%A0%E7%89%99%E7%8C%AA"
"62","101","花衣蝶","122","539","67","72","84","94","100","https://patchwiki.biligame.com/images/rocom/c/ca/ssjrnqrtjz4ftobafu4guizlkdpye0f.png","https://wiki.biligame.com/rocom/%E8%8A%B1%E8%A1%A3%E8%9D%B6"
"63","284","铠甲虫","122","522","88","39","121","77","75","https://patchwiki.biligame.com/images/rocom/6/6e/c2qomiq244hfmlrgiwvd13n0pmn1znj.png","https://wiki.biligame.com/rocom/%E9%93%A0%E7%94%B2%E8%99%AB"
"64","236","圣代甜甜（蓝莓抹茶口味）","121","605","100","101","86","92","105","https://patchwiki.biligame.com/images/rocom/4/42/mzd3m01yz5ciweqw38n7rm0dw8y6xfc.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89"
"65","038","卷胡巨獭","121","595","96","96","101","101","80","https://patchwiki.biligame.com/images/rocom/4/4d/h1d1rubaklvrkodj1fr4j8jyiaqho8z.png","https://wiki.biligame.com/rocom/%E5%8D%B7%E8%83%A1%E5%B7%A8%E7%8D%AD"
"66","035","幻影荆棘","121","559","74","74","72","138","80","https://patchwiki.biligame.com/images/rocom/1/1f/bqzxnwv4tgh97jvh40eh3mtgp5kt8h4.png","https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E8%8D%86%E6%A3%98"
"67","121","小黑猫","121","528","72","130","54","95","56","https://patchwiki.biligame.com/images/rocom/c/c9/8rrqybxt78i08ws9ztf6iqrhpbf61fi.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BB%91%E7%8C%AB"
"68","029","布克棱岩","120","683","135","49","159","150","70","https://patchwiki.biligame.com/images/rocom/5/54/108j9nm783krd2nenbkyvvgy2xkgoso.png","https://wiki.biligame.com/rocom/%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9"
"69","001","迪莫","120","582","80","80","105","105","92","https://patchwiki.biligame.com/images/rocom/2/25/o64cvcxq1l6tlur77xjqbwx2s4imabd.png","https://wiki.biligame.com/rocom/%E8%BF%AA%E8%8E%AB"
"70","290","寂灭骨龙","120","552","137","50","104","81","60","https://patchwiki.biligame.com/images/rocom/3/31/g9815x8kx47nbavj9mcolhexofrpulc.png","https://wiki.biligame.com/rocom/%E5%AF%82%E7%81%AD%E9%AA%A8%E9%BE%99"
"71","236","圣代甜甜","119","612","112","119","70","92","100","https://patchwiki.biligame.com/images/rocom/c/ca/73y6hx9ejbcli53vysobr9g1wty7utz.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C"
"72","175","多菇丁","119","501","81","76","93","76","56","https://patchwiki.biligame.com/images/rocom/5/54/5zfiphchqveime7yps9honw4eh4x82b.png","https://wiki.biligame.com/rocom/%E5%A4%9A%E8%8F%87%E4%B8%81"
"73","219","里拉鳐","118","644","82","89","103","147","105","https://patchwiki.biligame.com/images/rocom/8/80/13gxjtrh4mt3mhyoc1is69gz7vfm3tv.png","https://wiki.biligame.com/rocom/%E9%87%8C%E6%8B%89%E9%B3%90"
"74","353","凡鹰","118","620","92","89","86","110","125","https://patchwiki.biligame.com/images/rocom/f/f2/mjr3868sdrox5qo44kd6m3mnvma2wwa.png","https://wiki.biligame.com/rocom/%E5%87%A1%E9%B9%B0"
"75","078","千棘海针","118","562","32","85","94","133","100","https://patchwiki.biligame.com/images/rocom/f/f9/pudem6kzv2b7u499vy533jbzhcfis8g.png","https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E6%B5%B7%E9%92%88"
"76","078","千棘盔（本来的样子）","118","545","41","99","76","111","100","https://patchwiki.biligame.com/images/rocom/d/d3/m619bkrakzm4rsb834fgl8s3tuleqzw.png","https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E7%9B%94%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"77","007","烈火战神","117","672","175","84","94","72","130","https://patchwiki.biligame.com/images/rocom/6/6a/hacle5ni5exjxhg13fofbitd0i3xw00.png","https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E6%88%98%E7%A5%9E"
"78","078","千棘盔（磨损的样子）","117","544","41","100","74","107","105","https://patchwiki.biligame.com/images/rocom/0/02/6oldm5ijvf1cvinze5y0mulbdf82kvk.png","https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E7%9B%94%EF%BC%88%E7%A3%A8%E6%8D%9F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"79","329","夜枭","117","464","10","61","90","106","80","https://patchwiki.biligame.com/images/rocom/6/63/ff8hybk5g0efhfnva9476qaovcmdl2i.png","https://wiki.biligame.com/rocom/%E5%A4%9C%E6%9E%AD"
"80","013","咔咔壳（蜕皮时的样子）","117","462","31","96","75","79","64","https://patchwiki.biligame.com/images/rocom/1/14/7wnrvevs8mkyphsmoz74w3nahkovtk9.png","https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"81","361","加油蟹","116","683","108","108","128","128","95","https://patchwiki.biligame.com/images/rocom/b/b7/bwgqo7846qudxrgaec4wvjdbqvddije.png","https://wiki.biligame.com/rocom/%E5%8A%A0%E6%B2%B9%E8%9F%B9"
"82","359","音碟吼","116","661","94","151","63","127","110","https://patchwiki.biligame.com/images/rocom/7/70/as6gc3vymzfws67futqaq3ymyr1ftbl.png","https://wiki.biligame.com/rocom/%E9%9F%B3%E7%A2%9F%E5%90%BC"
"83","331","小皮球","116","618","68","127","71","126","110","https://patchwiki.biligame.com/images/rocom/1/11/coplggyd0xwtvzzkw5d1say369yg1oy.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E7%9A%AE%E7%90%83"
"84","180","卷毛鸭","116","504","98","29","83","63","115","https://patchwiki.biligame.com/images/rocom/0/0f/pzglsihj4tscuiypshxtjxq7x9u9bwp.png","https://wiki.biligame.com/rocom/%E5%8D%B7%E6%AF%9B%E9%B8%AD"
"85","083","黄蜂后","116","305","43","39","36","36","35","https://patchwiki.biligame.com/images/rocom/c/cc/81ny58tuiqt9xd2e6tsi79lf7yigchq.png","https://wiki.biligame.com/rocom/%E9%BB%84%E8%9C%82%E5%90%8E"
"86","110","彩蝶鲨","115","692","101","101","125","125","125","https://patchwiki.biligame.com/images/rocom/5/51/eeqyrw3rswylx1c4sc3kxpzfgu5yqgm.png","https://wiki.biligame.com/rocom/%E5%BD%A9%E8%9D%B6%E9%B2%A8"
"87","110","神谕鲨","115","692","101","101","125","125","125","https://patchwiki.biligame.com/images/rocom/8/87/5os1votqyvev5zau69526mk128ggh29.png","https://wiki.biligame.com/rocom/%E7%A5%9E%E8%B0%95%E9%B2%A8"
"88","115","祭礼巨像","115","599","98","102","100","99","85","https://patchwiki.biligame.com/images/rocom/2/20/2ueygm0fuopiton03rnnqvbe48fv65b.png","https://wiki.biligame.com/rocom/%E7%A5%AD%E7%A4%BC%E5%B7%A8%E5%83%8F"
"89","149","尖嘴狐仙","115","580","87","87","84","107","100","https://patchwiki.biligame.com/images/rocom/b/b1/gqbvamoe1ljcd3be988hlopoxdo44ak.png","https://wiki.biligame.com/rocom/%E5%B0%96%E5%98%B4%E7%8B%90%E4%BB%99"
"90","026","石冠王蜥（本来的样子）","115","572","89","89","109","75","95","https://patchwiki.biligame.com/images/rocom/0/00/dlzc7ctb4qlsc5pbonhpcu7kky4x3uz.png","https://wiki.biligame.com/rocom/%E7%9F%B3%E5%86%A0%E7%8E%8B%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"91","131","恶魔狼王","115","560","121","50","91","63","120","https://patchwiki.biligame.com/images/rocom/c/cd/1qfkgvqe3ah6vtttso6rmj8eeddxh6u.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC%E7%8E%8B"
"92","131","恶魔狼","115","548","114","45","91","63","120","https://patchwiki.biligame.com/images/rocom/6/6a/8rz167blfbrzzs44u5mq8a0k7im6ap8.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC"
"93","074","动力猿","115","547","125","51","108","88","60","https://patchwiki.biligame.com/images/rocom/9/98/okpl88mwskdjsdfwxwln1kbpwxxly69.png","https://wiki.biligame.com/rocom/%E5%8A%A8%E5%8A%9B%E7%8C%BF"
"94","306","古卷匣魔像","114","650","109","109","134","89","95","https://patchwiki.biligame.com/images/rocom/1/18/6fhqn0ek9exvjnyj4rbdl14goi2l79m.png","https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E5%8C%A3%E9%AD%94%E5%83%8F"
"95","187","卡洛儿","114","619","102","107","82","124","90","https://patchwiki.biligame.com/images/rocom/c/c9/t773ll421ypqybexg7xzjb3qs2rt2m0.png","https://wiki.biligame.com/rocom/%E5%8D%A1%E6%B4%9B%E5%84%BF"
"96","236","圣代甜甜（蓝莓巧克力口味）","114","612","117","110","79","92","100","https://patchwiki.biligame.com/images/rocom/1/15/ef3afe21zib84vovuamb6hlni2irvt5.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89"
"97","051","蹦床松鼠","114","555","84","79","111","87","80","https://patchwiki.biligame.com/images/rocom/5/5e/6lkej27f60uxygncdnl4oktj79t9da2.png","https://wiki.biligame.com/rocom/%E8%B9%A6%E5%BA%8A%E6%9D%BE%E9%BC%A0"
"98","339","上岸蛙","114","554","106","44","101","69","120","https://patchwiki.biligame.com/images/rocom/c/ca/n3bvy3z45vn9j7w9cmmvceao752e7e3.png","https://wiki.biligame.com/rocom/%E4%B8%8A%E5%B2%B8%E8%9B%99"
"99","162","公平鸽","113","649","93","93","125","125","100","https://patchwiki.biligame.com/images/rocom/1/14/mfnm7m1309w6i464sm5kuagyb6yzxoi.png","https://wiki.biligame.com/rocom/%E5%85%AC%E5%B9%B3%E9%B8%BD"
