"rank","number","name","speed","stats_total","hp","physical_attack","magic_attack","physical_defense","magic_defense","image_url","source_url"
"19","167","皇家狮鹫（高山地的样子）","125","596","109","110","59","123","70","https://patchwiki.biligame.com/images/rocom/b/bc/4qgxh1xp5dtis0ktl2dy5n6bv395c2r.png","https://wiki.biligame.com/rocom/%E7%9A%87%E5%AE%B6%E7%8B%AE%E9%B9%AB%EF%BC%88%E9%AB%98%E5%B1%B1%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"20","133","电企鹅","125","583","94","56","126","73","109","https://patchwiki.biligame.com/images/rocom/b/be/9br0yfxnfz0dsnrtgc7tlt75qtwxycl.png","https://wiki.biligame.com/rocom/%E7%94%B5%E4%BC%81%E9%B9%85"
"21","206","酷拉","125","583","83","100","100","78","97","https://patchwiki.biligame.com/images/rocom/8/8e/f72t0l1mbisw4ehkivz7pdpbcqkosus.png","https://wiki.biligame.com/rocom/%E9%85%B7%E6%8B%89"
"22","068","电球咩咩","125","553","78","82","82","91","95","https://patchwiki.biligame.com/images/rocom/0/01/4sz6qymt56rlm9ybuobr7s76qonzxvu.png","https://wiki.biligame.com/rocom/%E7%94%B5%E7%90%83%E5%92%A9%E5%92%A9"
"23","189","棋骑士（白子）","125","543","90","126","45","88","69","https://patchwiki.biligame.com/images/rocom/6/6c/8vu1ju9uu71aux8unhdyq9gcfw9if5p.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E9%AA%91%E5%A3%AB%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89"
"24","347","暮星辰","125","532","81","35","106","80","105","https://patchwiki.biligame.com/images/rocom/8/87/t4odr9tclj4xhuivmm3c3l9vazzsk83.png","https://wiki.biligame.com/rocom/%E6%9A%AE%E6%98%9F%E8%BE%B0"
"25","189","棋骑士（黑子）","125","522","83","121","43","84","66","https://patchwiki.biligame.com/images/rocom/2/28/opq7dnblmw29jx3r7l6mipn76vn336t.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E9%AA%91%E5%A3%AB%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89"
"26","248","裘卡","125","520","73","93","83","65","81","https://patchwiki.biligame.com/images/rocom/a/a9/1bccpd3l1t66oy3lwk44wzr3pqsj9y2.png","https://wiki.biligame.com/rocom/%E8%A3%98%E5%8D%A1"
"27","046","卡瓦重（沙地附近的样子）","125","451","73","70","20","92","71","https://patchwiki.biligame.com/images/rocom/8/8a/1zehqpohxyoby4g73ehlkybfop2ybj2.png","https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E6%B2%99%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"28","364","小丑公爵","120","729","111","145","147","82","124","https://patchwiki.biligame.com/images/rocom/b/bc/h4vncmj120kkvze5r3v09mn3r83cyxl.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%AC%E7%88%B5"
"29","091","黑羽夫人","120","652","132","93","87","130","90","https://patchwiki.biligame.com/images/rocom/6/63/6f0vzmzh3c2vr7vu4cli5ppzwcf18di.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%BE%BD%E5%A4%AB%E4%BA%BA"
"30","098","咔咔鸟","120","631","97","114","110","101","89","https://patchwiki.biligame.com/images/rocom/f/fa/9xi3n8libbst7y2xe4bja79hfbmcmmn.png","https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%B8%9F"
"31","301","画间法师手","120","619","101","53","131","94","120","https://patchwiki.biligame.com/images/rocom/2/2a/m0rnppd2iwqm9h78gft0jkwzqje5v5h.png","https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B3%95%E5%B8%88%E6%89%8B"
"32","167","皇家狮鹫（崖间地的样子）","120","604","107","116","69","127","65","https://patchwiki.biligame.com/images/rocom/0/09/nji78x7xa58n2ye2yhkqgedpywia239.png","https://wiki.biligame.com/rocom/%E7%9A%87%E5%AE%B6%E7%8B%AE%E9%B9%AB%EF%BC%88%E5%B4%96%E9%97%B4%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"33","220","海枝枝（翠绿纶布）","120","603","90","53","135","92","113","https://patchwiki.biligame.com/images/rocom/a/a9/dd80pj056tbluqzzq0n70g3m3ty1y7a.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E7%BF%A0%E7%BB%BF%E7%BA%B6%E5%B8%83%EF%BC%89"
"34","316","熔岩布丁","120","564","128","87","33","112","84","https://patchwiki.biligame.com/images/rocom/0/0c/fak6xe7fad7bxuiybj40jzr2mc5yueq.png","https://wiki.biligame.com/rocom/%E7%86%94%E5%B2%A9%E5%B8%83%E4%B8%81"
"35","048","风暴战犬","120","562","85","128","46","101","82","https://patchwiki.biligame.com/images/rocom/1/13/a4ia4bjbsmjsr1gjwdtyxhnbqm2w0ib.png","https://wiki.biligame.com/rocom/%E9%A3%8E%E6%9A%B4%E6%88%98%E7%8A%AC"
"36","048","音速犬","120","562","85","128","46","101","82","https://patchwiki.biligame.com/images/rocom/4/4e/8rkwz0k7qvejlxs78isa65ajn16o1qk.png","https://wiki.biligame.com/rocom/%E9%9F%B3%E9%80%9F%E7%8A%AC"
"37","315","椰浆布丁","120","562","133","34","89","81","105","https://patchwiki.biligame.com/images/rocom/8/82/m4mfzkpmvl06onmtxu9sqwrpwar1jix.png","https://wiki.biligame.com/rocom/%E6%A4%B0%E6%B5%86%E5%B8%83%E4%B8%81"
"38","131","恶魔狼王","120","560","115","121","50","91","63","https://patchwiki.biligame.com/images/rocom/c/cd/1qfkgvqe3ah6vtttso6rmj8eeddxh6u.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC%E7%8E%8B"
"39","209","荆棘电环","120","557","106","81","81","85","84","https://patchwiki.biligame.com/images/rocom/5/57/jpk5furnkwy92gmzsrbhmlk1i6tok09.png","https://wiki.biligame.com/rocom/%E8%8D%86%E6%A3%98%E7%94%B5%E7%8E%AF"
"40","339","上岸蛙","120","554","114","106","44","101","69","https://patchwiki.biligame.com/images/rocom/c/ca/n3bvy3z45vn9j7w9cmmvceao752e7e3.png","https://wiki.biligame.com/rocom/%E4%B8%8A%E5%B2%B8%E8%9B%99"
"41","131","恶魔狼","120","548","115","114","45","91","63","https://patchwiki.biligame.com/images/rocom/6/6a/8rz167blfbrzzs44u5mq8a0k7im6ap8.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC"
"42","314","抹茶布丁","120","546","101","32","101","94","98","https://patchwiki.biligame.com/images/rocom/f/fc/gjn312cevohkc3akvtme0l266a3txb1.png","https://wiki.biligame.com/rocom/%E6%8A%B9%E8%8C%B6%E5%B8%83%E4%B8%81"
"43","120","风滚暮虫（金黄的样子）","120","542","93","24","109","105","91","https://patchwiki.biligame.com/images/rocom/5/53/i7jmthl2o8l116rbhkn2fyjmhtf57s5.png","https://wiki.biligame.com/rocom/%E9%A3%8E%E6%BB%9A%E6%9A%AE%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"44","120","风滚暮虫（枯叶的样子）","120","540","95","25","111","102","87","https://patchwiki.biligame.com/images/rocom/a/a8/23lz5nyrkultfyy2c4dwgqboh21zmuq.png","https://wiki.biligame.com/rocom/%E9%A3%8E%E6%BB%9A%E6%9A%AE%E8%99%AB%EF%BC%88%E6%9E%AF%E5%8F%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"45","228","波普鹿","120","499","92","79","21","108","79","https://patchwiki.biligame.com/images/rocom/7/71/2javy6283hb35gerbth2ddfy8begopj.png","https://wiki.biligame.com/rocom/%E6%B3%A2%E6%99%AE%E9%B9%BF"
"46","228","爵士鹿","120","496","92","77","20","108","79","https://patchwiki.biligame.com/images/rocom/a/a6/jcxy6nsrryijb047juj3qhxe55oi58z.png","https://wiki.biligame.com/rocom/%E7%88%B5%E5%A3%AB%E9%B9%BF"
"47","215","恶魔红钻","115","666","100","147","137","93","74","https://patchwiki.biligame.com/images/rocom/1/14/ow13sxw8jyv8sq7bhtvxn7yjl8mo88m.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%BA%A2%E9%92%BB"
"48","090","翠顶夫人","115","656","125","95","86","138","97","https://patchwiki.biligame.com/images/rocom/8/8d/0mse3bf6b98dflfbq9bwjeofgi8lo24.png","https://wiki.biligame.com/rocom/%E7%BF%A0%E9%A1%B6%E5%A4%AB%E4%BA%BA"
"49","243","闪电鳗鱼","115","646","85","115","115","104","112","https://patchwiki.biligame.com/images/rocom/c/cf/tfvre4g1cbdv74tv7wydn5udn5gtdiv.png","https://wiki.biligame.com/rocom/%E9%97%AA%E7%94%B5%E9%B3%97%E9%B1%BC"
"50","141","雪灵","115","643","94","112","112","105","105","https://patchwiki.biligame.com/images/rocom/2/20/s8u199aia0fr684sn42zevm9y7jblmz.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E7%81%B5"
"51","336","粉耳星兔","115","642","100","79","148","73","127","https://patchwiki.biligame.com/images/rocom/1/12/dfrmcjhoft7x9ne5xiint27n3ustjzx.png","https://wiki.biligame.com/rocom/%E7%B2%89%E8%80%B3%E6%98%9F%E5%85%94"
"52","324","窃光蚊","115","630","93","113","113","71","125","https://patchwiki.biligame.com/images/rocom/e/ee/9ftuu9x2yo8twq5h8lthgnelas283kg.png","https://wiki.biligame.com/rocom/%E7%AA%83%E5%85%89%E8%9A%8A"
"53","087","朔夜伊芙","115","624","100","115","105","104","85","https://patchwiki.biligame.com/images/rocom/4/47/iefezmj355h7aifobba452t5fax5sup.png","https://wiki.biligame.com/rocom/%E6%9C%94%E5%A4%9C%E4%BC%8A%E8%8A%99"
"54","178","斑枭","115","617","89","112","112","89","100","https://patchwiki.biligame.com/images/rocom/a/a7/hnf5vk2e32l7c5s4rozuy2iuopkykoq.png","https://wiki.biligame.com/rocom/%E6%96%91%E6%9E%AD"
"55","056","幽冥眼（睁眼的样子）","115","610","92","50","120","98","135","https://patchwiki.biligame.com/images/rocom/2/23/1y27uyj9zvo1gctws3g4ru9kgsg3thg.png","https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"56","233","高脚鹬","115","606","96","98","98","112","87","https://patchwiki.biligame.com/images/rocom/b/b5/3wf0lz4sibzzvc7xc2c9t5c7oyyg4m4.png","https://wiki.biligame.com/rocom/%E9%AB%98%E8%84%9A%E9%B9%AC"
"57","271","绒光优优","115","605","101","43","111","105","130","https://patchwiki.biligame.com/images/rocom/7/76/fyktbyiugga3qdq8gkeboear0slov69.png","https://wiki.biligame.com/rocom/%E7%BB%92%E5%85%89%E4%BC%98%E4%BC%98"
"58","020","霜翼领主","115","592","90","142","63","108","74","https://patchwiki.biligame.com/images/rocom/1/15/epj3pmupds3fqc45iw7zisp9s957w62.png","https://wiki.biligame.com/rocom/%E9%9C%9C%E7%BF%BC%E9%A2%86%E4%B8%BB"
"59","056","幽冥眼（闭眼的样子）","115","592","105","38","120","104","110","https://patchwiki.biligame.com/images/rocom/b/b6/9gufmg61a81w9ewfe2gvv8acpbhr9vw.png","https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E9%97%AD%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"60","058","梦悠悠（穿旧睡衣的样子）","115","591","105","60","110","85","116","https://patchwiki.biligame.com/images/rocom/2/2b/glndghgzgkl35dw5l2jzm8m4cc3dv22.png","https://wiki.biligame.com/rocom/%E6%A2%A6%E6%82%A0%E6%82%A0%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"61","298","食尘短绒","115","576","109","105","37","113","97","https://patchwiki.biligame.com/images/rocom/5/56/2arovnrg3t48x4jr2zo0w7fp8axkkx9.png","https://wiki.biligame.com/rocom/%E9%A3%9F%E5%B0%98%E7%9F%AD%E7%BB%92"
"62","020","岚鸟（本来的样子）","115","570","90","128","55","108","74","https://patchwiki.biligame.com/images/rocom/7/7f/ac3t55pytqhv4x8c9z9w7w6k00glr8p.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"63","309","绒仙子","115","569","96","71","73","81","133","https://patchwiki.biligame.com/images/rocom/2/2a/nynxiyjn07oseu31p6o5z8crn5i6dx0.png","https://wiki.biligame.com/rocom/%E7%BB%92%E4%BB%99%E5%AD%90"
"64","020","岚鸟（夏天的样子）","115","566","99","133","54","96","69","https://patchwiki.biligame.com/images/rocom/7/7b/aqr0u8eiajno6zwl4j8o3nmi9z6vmyv.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"65","194","流浪鼠","115","563","90","46","116","84","112","https://patchwiki.biligame.com/images/rocom/e/e7/1ewnn289ny2ksdz247u2i3ytq7xnv03.png","https://wiki.biligame.com/rocom/%E6%B5%81%E6%B5%AA%E9%BC%A0"
"66","020","岚鸟（春天的样子）","115","558","93","128","44","97","81","https://patchwiki.biligame.com/images/rocom/8/8c/ddrlezesktm4eccjnz2289nvce5n7g3.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"67","020","岚鸟（秋天的样子）","115","557","90","127","42","98","85","https://patchwiki.biligame.com/images/rocom/a/a1/gyd3tqovbtxam8gyra1wony6whttkv9.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"68","059","兽花蕾","115","513","70","79","82","70","97","https://patchwiki.biligame.com/images/rocom/f/fb/40ew1mdy3j3km17nwkdvlit9es9y39b.png","https://wiki.biligame.com/rocom/%E5%85%BD%E8%8A%B1%E8%95%BE"
"69","225","翼龙","115","513","83","114","31","91","79","https://patchwiki.biligame.com/images/rocom/5/55/bb3dr6l4zb07mt2rpg6euok2j54m82n.png","https://wiki.biligame.com/rocom/%E7%BF%BC%E9%BE%99"
"70","180","卷毛鸭","115","504","116","98","29","83","63","https://patchwiki.biligame.com/images/rocom/0/0f/pzglsihj4tscuiypshxtjxq7x9u9bwp.png","https://wiki.biligame.com/rocom/%E5%8D%B7%E6%AF%9B%E9%B8%AD"
"71","011","鸭吉吉（燃了鸭）","115","475","108","89","41","74","48","https://patchwiki.biligame.com/images/rocom/3/36/qur3wj31ncfb3a9hw2vdvghxn494jtk.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%87%83%E4%BA%86%E9%B8%AD%EF%BC%89"
"72","200","奇梦咪","110","684","81","128","119","123","123","https://patchwiki.biligame.com/images/rocom/2/2f/avu0fx5ey1z75o1j6o9bnbqle8lxy2b.png","https://wiki.biligame.com/rocom/%E5%A5%87%E6%A2%A6%E5%92%AA"
"73","359","音碟吼","110","661","116","94","151","63","127","https://patchwiki.biligame.com/images/rocom/7/70/as6gc3vymzfws67futqaq3ymyr1ftbl.png","https://wiki.biligame.com/rocom/%E9%9F%B3%E7%A2%9F%E5%90%BC"
"74","268","绅士鸡","110","653","100","122","122","100","99","https://patchwiki.biligame.com/images/rocom/f/fc/tlu25qyk7b26q2d2fpv5mkuwafz4tv3.png","https://wiki.biligame.com/rocom/%E7%BB%85%E5%A3%AB%E9%B8%A1"
"75","200","梦想三三","110","641","81","117","107","113","113","https://patchwiki.biligame.com/images/rocom/a/a5/embzuzv9e1h1sp3btykrnthnsvqzwwh.png","https://wiki.biligame.com/rocom/%E6%A2%A6%E6%83%B3%E4%B8%89%E4%B8%89"
"76","357","爆焰喷喷","110","624","112","127","63","131","81","https://patchwiki.biligame.com/images/rocom/c/c9/4kwiyv4q1ohug7ja97ftajf8r9usjqe.png","https://wiki.biligame.com/rocom/%E7%88%86%E7%84%B0%E5%96%B7%E5%96%B7"
"77","331","小皮球","110","618","116","68","127","71","126","https://patchwiki.biligame.com/images/rocom/1/11/coplggyd0xwtvzzkw5d1say369yg1oy.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E7%9A%AE%E7%90%83"
"78","312","疾光千兽","110","612","104","146","67","112","73","https://patchwiki.biligame.com/images/rocom/b/ba/18st3mhvamod8xnva8rybnme9cgkc9b.png","https://wiki.biligame.com/rocom/%E7%96%BE%E5%85%89%E5%8D%83%E5%85%BD"
"79","220","海枝枝（碧蓝珊瑚）","110","610","78","58","148","96","120","https://patchwiki.biligame.com/images/rocom/5/5b/efwbtnaynmpx9y85y1obfzoch17c5do.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E7%A2%A7%E8%93%9D%E7%8F%8A%E7%91%9A%EF%BC%89"
"80","220","海枝枝（洋红沙丁）","110","610","97","62","136","84","121","https://patchwiki.biligame.com/images/rocom/d/d0/mkug3arsv93oibilcf93wgiksue32zw.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E6%B4%8B%E7%BA%A2%E6%B2%99%E4%B8%81%EF%BC%89"
"81","220","海枝枝（杏黄百合）","110","607","91","48","125","104","129","https://patchwiki.biligame.com/images/rocom/2/2c/d3tckjycxkj2wymb771d4k0nofe9axy.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E6%9D%8F%E9%BB%84%E7%99%BE%E5%90%88%EF%BC%89"
"82","279","遁地鼠（枯水期的样子）","110","596","110","119","51","121","85","https://patchwiki.biligame.com/images/rocom/3/3f/tfoq58kdykf2kzslpubl87ceyiu4c0r.png","https://wiki.biligame.com/rocom/%E9%81%81%E5%9C%B0%E9%BC%A0%EF%BC%88%E6%9E%AF%E6%B0%B4%E6%9C%9F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"83","017","花影羚羊","110","582","112","111","48","120","81","https://patchwiki.biligame.com/images/rocom/b/b5/kyhqvze7bxy684o6pql6pkank91011k.png","https://wiki.biligame.com/rocom/%E8%8A%B1%E5%BD%B1%E7%BE%9A%E7%BE%8A"
"84","297","捕尘长绒","110","565","106","100","34","116","99","https://patchwiki.biligame.com/images/rocom/b/be/nkj0ie4pek8cghl4idvgqt3m2sq5ox9.png","https://wiki.biligame.com/rocom/%E6%8D%95%E5%B0%98%E9%95%BF%E7%BB%92"
"85","170","芋香巨角蛛","110","506","92","61","61","91","91","https://patchwiki.biligame.com/images/rocom/7/78/7wig6sc6qf6fh5la1u2ykbxe5wv4f85.png","https://wiki.biligame.com/rocom/%E8%8A%8B%E9%A6%99%E5%B7%A8%E8%A7%92%E8%9B%9B"
"86","011","鸭吉吉（急急急鸭）","110","470","130","95","35","55","45","https://patchwiki.biligame.com/images/rocom/6/6f/7sidri1o3ke9cih06jlecsl5g9pqexq.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E6%80%A5%E6%80%A5%E6%80%A5%E9%B8%AD%EF%BC%89"
"87","080","小星光（星光能量的样子）","108","494","60","81","85","72","88","https://patchwiki.biligame.com/images/rocom/b/b1/o9j051uk3ed7na8hgl6lyic6xv38mjb.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E6%98%9F%E5%85%89%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"88","103","魔翼鸟","108","441","70","91","27","75","70","https://patchwiki.biligame.com/images/rocom/4/4d/di46fdrniv7kdxjfmi5kym1373p4xme.png","https://wiki.biligame.com/rocom/%E9%AD%94%E7%BF%BC%E9%B8%9F"
"89","291","厉毒小萝","108","396","67","64","17","81","59","https://patchwiki.biligame.com/images/rocom/3/3e/6tk28w0xeycfxejxbtn8myiv9wsd17j.png","https://wiki.biligame.com/rocom/%E5%8E%89%E6%AF%92%E5%B0%8F%E8%90%9D"
"90","045","卡卡虫（雪山附近的样子）","108","357","62","54","11","64","58","https://patchwiki.biligame.com/images/rocom/3/3a/o0ut8ep1y5dgqemmi95j7db9snv0zl5.png","https://wiki.biligame.com/rocom/%E5%8D%A1%E5%8D%A1%E8%99%AB%EF%BC%88%E9%9B%AA%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"91","219","里拉鳐","105","644","118","82","89","103","147","https://patchwiki.biligame.com/images/rocom/8/80/13gxjtrh4mt3mhyoc1is69gz7vfm3tv.png","https://wiki.biligame.com/rocom/%E9%87%8C%E6%8B%89%E9%B3%90"
"92","117","彩虹独角兽","105","643","99","78","192","77","92","https://patchwiki.biligame.com/images/rocom/f/fe/bpf3jqzgjp0t47cqro78txddkoh70b4.png","https://wiki.biligame.com/rocom/%E5%BD%A9%E8%99%B9%E7%8B%AC%E8%A7%92%E5%85%BD"
"93","374","帅帅魔偶","105","636","97","104","111","86","133","https://patchwiki.biligame.com/images/rocom/2/25/qjfnyp5cg0l1wyuoxsdqw5kfu9vxsfu.png","https://wiki.biligame.com/rocom/%E5%B8%85%E5%B8%85%E9%AD%94%E5%81%B6"
"94","155","针叶巡林","105","634","105","139","57","128","100","https://patchwiki.biligame.com/images/rocom/e/ea/3rpguccru3cfly322suefeqa3oy62vv.png","https://wiki.biligame.com/rocom/%E9%92%88%E5%8F%B6%E5%B7%A1%E6%9E%97"
"95","161","游蛇魔使","105","630","105","110","104","103","103","https://patchwiki.biligame.com/images/rocom/b/bf/oggcovajukek3g37v0dti0t7dguqkw2.png","https://wiki.biligame.com/rocom/%E6%B8%B8%E8%9B%87%E9%AD%94%E4%BD%BF"
"96","321","利灯鱼","105","626","128","68","138","71","116","https://patchwiki.biligame.com/images/rocom/f/f0/q3g76bthejmlv9o6phrchq0cpdlfzhy.png","https://wiki.biligame.com/rocom/%E5%88%A9%E7%81%AF%E9%B1%BC"
