"rank","number","name","magic_attack","stats_total","hp","physical_attack","physical_defense","magic_defense","speed","image_url","source_url"
"14","321","利灯鱼","138","626","128","68","71","116","105","https://patchwiki.biligame.com/images/rocom/f/f0/q3g76bthejmlv9o6phrchq0cpdlfzhy.png","https://wiki.biligame.com/rocom/%E5%88%A9%E7%81%AF%E9%B1%BC"
"15","215","恶魔红钻","137","666","100","147","93","74","115","https://patchwiki.biligame.com/images/rocom/1/14/ow13sxw8jyv8sq7bhtvxn7yjl8mo88m.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%BA%A2%E9%92%BB"
"16","220","海枝枝（洋红沙丁）","136","610","97","62","84","121","110","https://patchwiki.biligame.com/images/rocom/d/d0/mkug3arsv93oibilcf93wgiksue32zw.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E6%B4%8B%E7%BA%A2%E6%B2%99%E4%B8%81%EF%BC%89"
"17","220","海枝枝（翠绿纶布）","135","603","90","53","92","113","120","https://patchwiki.biligame.com/images/rocom/a/a9/dd80pj056tbluqzzq0n70g3m3ty1y7a.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E7%BF%A0%E7%BB%BF%E7%BA%B6%E5%B8%83%EF%BC%89"
"18","301","画间法师手","131","619","101","53","94","120","120","https://patchwiki.biligame.com/images/rocom/2/2a/m0rnppd2iwqm9h78gft0jkwzqje5v5h.png","https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B3%95%E5%B8%88%E6%89%8B"
"19","334","贝古斯","130","641","132","76","85","163","55","https://patchwiki.biligame.com/images/rocom/0/0d/8cvnsom0kdicxcvjnut1lewivnuxgr2.png","https://wiki.biligame.com/rocom/%E8%B4%9D%E5%8F%A4%E6%96%AF"
"20","121","小黑猫","130","528","121","72","54","95","56","https://patchwiki.biligame.com/images/rocom/c/c9/8rrqybxt78i08ws9ztf6iqrhpbf61fi.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BB%91%E7%8C%AB"
"21","211","迷迷箱怪","129","782","138","129","153","153","80","https://patchwiki.biligame.com/images/rocom/0/01/g7z9d41f10oqqtxn42417tov8gcg4bo.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E8%BF%B7%E7%AE%B1%E6%80%AA"
"22","340","火红尾","129","511","67","56","70","89","100","https://patchwiki.biligame.com/images/rocom/0/00/gknyb1qbbno2vnvcvyb4p9a0o9y1owp.png","https://wiki.biligame.com/rocom/%E7%81%AB%E7%BA%A2%E5%B0%BE"
"23","116","小独角兽","129","476","79","48","62","74","84","https://patchwiki.biligame.com/images/rocom/e/ec/qdyvecckyuhnazeotxq9wkxwzb4ws8o.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E7%8B%AC%E8%A7%92%E5%85%BD"
"24","043","奇丽果","128","686","112","128","133","105","80","https://patchwiki.biligame.com/images/rocom/0/02/34mpv4ti9cwjytjgw6d8wt5q0vn5d86.png","https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E6%9E%9C"
"25","004","叶冕魔力猫","127","649","108","127","81","151","55","https://patchwiki.biligame.com/images/rocom/2/21/bex2jmtdhmnx0b0j1b1pfcmf5imwzyv.png","https://wiki.biligame.com/rocom/%E5%8F%B6%E5%86%95%E9%AD%94%E5%8A%9B%E7%8C%AB"
"26","010","水灵","127","621","125","58","94","132","85","https://patchwiki.biligame.com/images/rocom/5/50/33by7ml0nsrsxxq1l8l2uj4izqnuwpd.png","https://wiki.biligame.com/rocom/%E6%B0%B4%E7%81%B5"
"27","331","小皮球","127","618","116","68","71","126","110","https://patchwiki.biligame.com/images/rocom/1/11/coplggyd0xwtvzzkw5d1say369yg1oy.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E7%9A%AE%E7%90%83"
"28","164","怒目怂猫","126","651","92","132","111","95","95","https://patchwiki.biligame.com/images/rocom/0/08/0jj0vlt3qpo3dp9gha2nj5tbnydfvjp.png","https://wiki.biligame.com/rocom/%E6%80%92%E7%9B%AE%E6%80%82%E7%8C%AB"
"29","133","电企鹅","126","583","94","56","73","109","125","https://patchwiki.biligame.com/images/rocom/b/be/9br0yfxnfz0dsnrtgc7tlt75qtwxycl.png","https://wiki.biligame.com/rocom/%E7%94%B5%E4%BC%81%E9%B9%85"
"30","305","古卷执政官","125","658","111","125","80","122","95","https://patchwiki.biligame.com/images/rocom/d/dc/numbiaa5oc8iursntgrv198ay097vnk.png","https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E6%89%A7%E6%94%BF%E5%AE%98"
"31","337","落陨星兔","125","637","93","61","87","141","130","https://patchwiki.biligame.com/images/rocom/8/86/jeo10wvmxho14u7cdmib8272dqfuzpr.png","https://wiki.biligame.com/rocom/%E8%90%BD%E9%99%A8%E6%98%9F%E5%85%94"
"32","220","海枝枝（杏黄百合）","125","607","91","48","104","129","110","https://patchwiki.biligame.com/images/rocom/2/2c/d3tckjycxkj2wymb771d4k0nofe9axy.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E6%9D%8F%E9%BB%84%E7%99%BE%E5%90%88%EF%BC%89"
"33","011","鸭吉吉（起来鸭）","125","578","107","53","80","113","100","https://patchwiki.biligame.com/images/rocom/3/3c/j6agh5wzsw4sxhzzjatf0w077ff8a0t.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%B5%B7%E6%9D%A5%E9%B8%AD%EF%BC%89"
"34","122","黑猫巫师","124","615","149","53","90","129","70","https://patchwiki.biligame.com/images/rocom/c/cb/9uippciulkrlx979x5xnv9aqoprjcek.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%B7%AB%E5%B8%88"
"35","276","格兰球","124","536","108","52","80","112","60","https://patchwiki.biligame.com/images/rocom/6/6c/ti7vsccgrnfmugk27891cc9726d15j5.png","https://wiki.biligame.com/rocom/%E6%A0%BC%E5%85%B0%E7%90%83"
"36","268","绅士鸡","122","653","100","122","100","99","110","https://patchwiki.biligame.com/images/rocom/f/fc/tlu25qyk7b26q2d2fpv5mkuwafz4tv3.png","https://wiki.biligame.com/rocom/%E7%BB%85%E5%A3%AB%E9%B8%A1"
"37","257","红绒十字","122","598","112","47","100","127","90","https://patchwiki.biligame.com/images/rocom/c/c1/1i2n00tjjxrhc3x9p39hrg4kxujapoh.png","https://wiki.biligame.com/rocom/%E7%BA%A2%E7%BB%92%E5%8D%81%E5%AD%97"
"38","014","水泡壳（蜕皮时的样子）","121","577","146","39","93","98","80","https://patchwiki.biligame.com/images/rocom/3/3b/q3czw9wpfsxp68fq5lf32fqcl7jxynl.png","https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"39","358","猴麦仔","121","529","93","75","50","102","88","https://patchwiki.biligame.com/images/rocom/d/db/lwsrkjfb6dtftj47770lvr4hyc5fadc.png","https://wiki.biligame.com/rocom/%E7%8C%B4%E9%BA%A6%E4%BB%94"
"40","236","圣代甜甜（杨桃巧克力口味）","120","615","110","116","73","96","100","https://patchwiki.biligame.com/images/rocom/2/29/t7h3kh0kxojtjq96942lz3ogfu3vp3h.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89"
"41","056","幽冥眼（睁眼的样子）","120","610","92","50","98","135","115","https://patchwiki.biligame.com/images/rocom/2/23/1y27uyj9zvo1gctws3g4ru9kgsg3thg.png","https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"42","014","水泡壳（本来的样子）","120","594","112","46","107","134","75","https://patchwiki.biligame.com/images/rocom/d/d0/0fhxxfotj2zivjel031i1w9v6ys3ts4.png","https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"43","056","幽冥眼（闭眼的样子）","120","592","105","38","104","110","115","https://patchwiki.biligame.com/images/rocom/b/b6/9gufmg61a81w9ewfe2gvv8acpbhr9vw.png","https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E9%97%AD%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"44","200","奇梦咪","119","684","81","128","123","123","110","https://patchwiki.biligame.com/images/rocom/2/2f/avu0fx5ey1z75o1j6o9bnbqle8lxy2b.png","https://wiki.biligame.com/rocom/%E5%A5%87%E6%A2%A6%E5%92%AA"
"45","236","圣代甜甜","119","612","119","112","70","92","100","https://patchwiki.biligame.com/images/rocom/c/ca/73y6hx9ejbcli53vysobr9g1wty7utz.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C"
"46","335","粉星仔","119","514","80","63","58","102","92","https://patchwiki.biligame.com/images/rocom/6/68/taalud8zowwtufk65ucpbes8xqsminq.png","https://wiki.biligame.com/rocom/%E7%B2%89%E6%98%9F%E4%BB%94"
"47","122","黑猫密探","118","621","149","65","90","129","70","https://patchwiki.biligame.com/images/rocom/5/50/bpobcq4lgfb7e4m0wy3dy5esbqn8hmt.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%AF%86%E6%8E%A2"
"48","363","小丑兔","118","583","88","116","66","99","96","https://patchwiki.biligame.com/images/rocom/6/6d/7yy4hm1g7qzk4jp6epg46savfr7s9im.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%94"
"49","070","蒲公英娃娃","117","642","111","123","129","97","65","https://patchwiki.biligame.com/images/rocom/e/eb/8np4gxq8dybdydnv77kwoc300to6ont.png","https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1%E5%A8%83%E5%A8%83"
"50","194","流浪鼠","116","563","90","46","84","112","115","https://patchwiki.biligame.com/images/rocom/e/e7/1ewnn289ny2ksdz247u2i3ytq7xnv03.png","https://wiki.biligame.com/rocom/%E6%B5%81%E6%B5%AA%E9%BC%A0"
"51","079","菊花梨","116","523","106","49","77","115","60","https://patchwiki.biligame.com/images/rocom/d/db/qitqnhdvjw8gwhnvvapfuqv6g0qgaef.png","https://wiki.biligame.com/rocom/%E8%8F%8A%E8%8A%B1%E6%A2%A8"
"52","243","闪电鳗鱼","115","646","85","115","104","112","115","https://patchwiki.biligame.com/images/rocom/c/cf/tfvre4g1cbdv74tv7wydn5udn5gtdiv.png","https://wiki.biligame.com/rocom/%E9%97%AA%E7%94%B5%E9%B3%97%E9%B1%BC"
"53","043","奇丽花","115","638","112","115","121","95","80","https://patchwiki.biligame.com/images/rocom/8/8c/dbgfehb9vsrkwnn1jkxtibxciapkdur.png","https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8A%B1"
"54","273","深蓝鲸","115","588","129","40","119","135","50","https://patchwiki.biligame.com/images/rocom/4/4c/eonvrfjw5xrztsmkzmwz4eutdi7oban.png","https://wiki.biligame.com/rocom/%E6%B7%B1%E8%93%9D%E9%B2%B8"
"55","144","雪影冰灵","114","650","130","120","66","130","90","https://patchwiki.biligame.com/images/rocom/b/b5/q1m8ksutjvlfrfkjqd3o4hda5mac1es.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%86%B0%E7%81%B5"
"56","241","龙鱼","113","674","77","131","122","106","125","https://patchwiki.biligame.com/images/rocom/1/1b/9pwwn6fecfi32vefzwgmfcpftbkfvxi.png","https://wiki.biligame.com/rocom/%E9%BE%99%E9%B1%BC"
"57","324","窃光蚊","113","630","93","113","71","125","115","https://patchwiki.biligame.com/images/rocom/e/ee/9ftuu9x2yo8twq5h8lthgnelas283kg.png","https://wiki.biligame.com/rocom/%E7%AA%83%E5%85%89%E8%9A%8A"
"58","141","雪灵","112","643","94","112","105","105","115","https://patchwiki.biligame.com/images/rocom/2/20/s8u199aia0fr684sn42zevm9y7jblmz.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E7%81%B5"
"59","178","斑枭","112","617","89","112","89","100","115","https://patchwiki.biligame.com/images/rocom/a/a7/hnf5vk2e32l7c5s4rozuy2iuopkykoq.png","https://wiki.biligame.com/rocom/%E6%96%91%E6%9E%AD"
"60","094","魔草巫灵","112","592","99","43","109","139","90","https://patchwiki.biligame.com/images/rocom/5/59/1efyfsgz5qsbi73ldyaoxlziimgv58k.png","https://wiki.biligame.com/rocom/%E9%AD%94%E8%8D%89%E5%B7%AB%E7%81%B5"
"61","285","圣剑侍从","111","696","139","116","139","139","52","https://patchwiki.biligame.com/images/rocom/1/1d/6w4z6k41648qw2uagnoz0ac081trrgi.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E4%BE%8D%E4%BB%8E"
"62","374","帅帅魔偶","111","636","97","104","86","133","105","https://patchwiki.biligame.com/images/rocom/2/25/qjfnyp5cg0l1wyuoxsdqw5kfu9vxsfu.png","https://wiki.biligame.com/rocom/%E5%B8%85%E5%B8%85%E9%AD%94%E5%81%B6"
"63","271","绒光优优","111","605","101","43","105","130","115","https://patchwiki.biligame.com/images/rocom/7/76/fyktbyiugga3qdq8gkeboear0slov69.png","https://wiki.biligame.com/rocom/%E7%BB%92%E5%85%89%E4%BC%98%E4%BC%98"
"64","158","炽心勇狮","111","597","137","51","88","130","80","https://patchwiki.biligame.com/images/rocom/9/98/1jj3iwg4l6yjpl6zfizm3jz7rmbqe7q.png","https://wiki.biligame.com/rocom/%E7%82%BD%E5%BF%83%E5%8B%87%E7%8B%AE"
"65","120","风滚暮虫（枯叶的样子）","111","540","95","25","102","87","120","https://patchwiki.biligame.com/images/rocom/a/a8/23lz5nyrkultfyy2c4dwgqboh21zmuq.png","https://wiki.biligame.com/rocom/%E9%A3%8E%E6%BB%9A%E6%9A%AE%E8%99%AB%EF%BC%88%E6%9E%AF%E5%8F%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"66","320","双灯鱼","111","502","102","55","57","93","84","https://patchwiki.biligame.com/images/rocom/3/36/5i3mvo96bopno2o7f5h1bz7oz4hpkyq.png","https://wiki.biligame.com/rocom/%E5%8F%8C%E7%81%AF%E9%B1%BC"
"67","366","烟花伯爵","111","485","76","44","62","97","95","https://patchwiki.biligame.com/images/rocom/6/63/qfqaly4cyi2dg3w3c39zjcdjvsnjaey.png","https://wiki.biligame.com/rocom/%E7%83%9F%E8%8A%B1%E4%BC%AF%E7%88%B5"
"68","098","咔咔鸟","110","631","97","114","101","89","120","https://patchwiki.biligame.com/images/rocom/f/fa/9xi3n8libbst7y2xe4bja79hfbmcmmn.png","https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%B8%9F"
"69","236","圣代甜甜（樱桃草莓口味）","110","614","107","120","81","96","100","https://patchwiki.biligame.com/images/rocom/8/85/pcqrzberxe27iicgvc9bl23otpoolrs.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
"70","236","圣代甜甜（蓝莓巧克力口味）","110","612","114","117","79","92","100","https://patchwiki.biligame.com/images/rocom/1/15/ef3afe21zib84vovuamb6hlni2irvt5.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89"
"71","236","圣代甜甜（樱桃抹茶口味）","110","611","113","112","79","92","105","https://patchwiki.biligame.com/images/rocom/f/f0/hto166e5pdv3us1t7ag7x24h1s487xe.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89"
"72","236","圣代甜甜（杨桃草莓口味）","110","611","108","110","84","99","100","https://patchwiki.biligame.com/images/rocom/2/2f/mzdnvfoudyx442h7ztaxlgo4upbb17c.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
"73","236","圣代甜甜（杨桃抹茶口味）","110","610","110","107","82","96","105","https://patchwiki.biligame.com/images/rocom/3/3d/70pziam7w90ngwk40cu163okgk3isem.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89"
"74","058","梦悠悠（穿旧睡衣的样子）","110","591","105","60","85","116","115","https://patchwiki.biligame.com/images/rocom/2/2b/glndghgzgkl35dw5l2jzm8m4cc3dv22.png","https://wiki.biligame.com/rocom/%E6%A2%A6%E6%82%A0%E6%82%A0%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"75","065","蹦蹦花（海神球形态）","110","580","100","107","73","105","85","https://patchwiki.biligame.com/images/rocom/b/b4/jpdd60oi1k87a3tjhtdhl6n7uf6zn7x.png","https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89"
"76","065","蹦蹦花（象牙球形态）","110","578","99","100","73","106","90","https://patchwiki.biligame.com/images/rocom/7/78/3fv63xiv5fo42y0t80czcqq6f3m0r9b.png","https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E8%B1%A1%E7%89%99%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89"
"77","214","矮脚爬爬","110","532","80","117","74","59","92","https://patchwiki.biligame.com/images/rocom/4/4f/40765c203k2jjtugv9tbciczhr4jmxv.png","https://wiki.biligame.com/rocom/%E7%9F%AE%E8%84%9A%E7%88%AC%E7%88%AC"
"78","152","圣羽翼王","109","686","132","109","128","83","125","https://patchwiki.biligame.com/images/rocom/4/40/lbxi6r2yicliuipn8dp7n5pk90xfjo4.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E7%BE%BD%E7%BF%BC%E7%8E%8B"
"79","306","古卷匣魔像","109","650","114","109","134","89","95","https://patchwiki.biligame.com/images/rocom/1/18/6fhqn0ek9exvjnyj4rbdl14goi2l79m.png","https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E5%8C%A3%E9%AD%94%E5%83%8F"
"80","272","噼啪鸟","109","618","78","116","85","85","145","https://patchwiki.biligame.com/images/rocom/5/5f/67uopai58qg98apg0dci57gi1bgxhn4.png","https://wiki.biligame.com/rocom/%E5%99%BC%E5%95%AA%E9%B8%9F"
"81","004","魔力猫","109","613","108","109","81","151","55","https://patchwiki.biligame.com/images/rocom/3/33/p4l4i0xh8rzj0mosp9sgw4qjfvlbl0r.png","https://wiki.biligame.com/rocom/%E9%AD%94%E5%8A%9B%E7%8C%AB"
"82","182","海豹船长","109","600","90","113","111","77","100","https://patchwiki.biligame.com/images/rocom/f/fc/nrbg9xhvigh963cwi1nyqt6kl6t68zv.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E8%B1%B9%E8%88%B9%E9%95%BF"
"83","065","蹦蹦花（短毛球形态）","109","579","95","103","80","112","80","https://patchwiki.biligame.com/images/rocom/f/f8/m4negu4egvnb6beuqppdej76ylqf5gb.png","https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E7%9F%AD%E6%AF%9B%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89"
"84","065","蹦蹦花（彩玉球形态）","109","576","103","101","73","105","85","https://patchwiki.biligame.com/images/rocom/1/16/i4vw04mpnvyped0gvbm7tpbtz0venve.png","https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E5%BD%A9%E7%8E%89%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89"
"85","120","风滚暮虫（金黄的样子）","109","542","93","24","105","91","120","https://patchwiki.biligame.com/images/rocom/5/53/i7jmthl2o8l116rbhkn2fyjmhtf57s5.png","https://wiki.biligame.com/rocom/%E9%A3%8E%E6%BB%9A%E6%9A%AE%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"86","361","加油蟹","108","683","116","108","128","128","95","https://patchwiki.biligame.com/images/rocom/b/b7/bwgqo7846qudxrgaec4wvjdbqvddije.png","https://wiki.biligame.com/rocom/%E5%8A%A0%E6%B2%B9%E8%9F%B9"
"87","200","梦想三三","107","641","81","117","113","113","110","https://patchwiki.biligame.com/images/rocom/a/a5/embzuzv9e1h1sp3btykrnthnsvqzwwh.png","https://wiki.biligame.com/rocom/%E6%A2%A6%E6%83%B3%E4%B8%89%E4%B8%89"
"88","197","白发路路","107","633","86","100","113","132","95","https://patchwiki.biligame.com/images/rocom/9/9a/hx21iweu65ojmeo4ws3ucpbsngknrv9.png","https://wiki.biligame.com/rocom/%E7%99%BD%E5%8F%91%E8%B7%AF%E8%B7%AF"
"89","187","卡洛儿","107","619","114","102","82","124","90","https://patchwiki.biligame.com/images/rocom/c/c9/t773ll421ypqybexg7xzjb3qs2rt2m0.png","https://wiki.biligame.com/rocom/%E5%8D%A1%E6%B4%9B%E5%84%BF"
"90","081","星光狮（月光能量的样子）","107","617","80","95","90","120","125","https://patchwiki.biligame.com/images/rocom/d/d6/iixbxn3wupmru7y4ms0r4u8gk6g6ais.png","https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%9C%88%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"91","040","晶石蜗（蓝锥矿的样子）","107","583","99","97","124","91","65","https://patchwiki.biligame.com/images/rocom/c/cd/cyb7y777hcse9e1qe3qv9j11ed11s7i.png","https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%93%9D%E9%94%A5%E7%9F%BF%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"92","081","星光狮（星光能量的样子）","106","617","75","101","90","110","135","https://patchwiki.biligame.com/images/rocom/7/75/cjjrzihw6bz4uzfdn1npim98tas9p21.png","https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"93","347","暮星辰","106","532","81","35","80","105","125","https://patchwiki.biligame.com/images/rocom/8/87/t4odr9tclj4xhuivmm3c3l9vazzsk83.png","https://wiki.biligame.com/rocom/%E6%9A%AE%E6%98%9F%E8%BE%B0"
"94","267","晕晕鸡","106","530","86","106","74","70","88","https://patchwiki.biligame.com/images/rocom/4/46/5euq737ld77bkp75nukdt3mrwa11xrq.png","https://wiki.biligame.com/rocom/%E6%99%95%E6%99%95%E9%B8%A1"
