"rank","number","name","stats_total","hp","physical_attack","magic_attack","physical_defense","magic_defense","speed","image_url","source_url"
"19","372","巨鼓象","675","133","125","79","173","85","80","https://patchwiki.biligame.com/images/rocom/b/be/gme0i4md3g3rianh5x6xdk60j4p3jhz.png","https://wiki.biligame.com/rocom/%E5%B7%A8%E9%BC%93%E8%B1%A1"
"20","241","龙鱼","674","77","131","113","122","106","125","https://patchwiki.biligame.com/images/rocom/1/1b/9pwwn6fecfi32vefzwgmfcpftbkfvxi.png","https://wiki.biligame.com/rocom/%E9%BE%99%E9%B1%BC"
"21","007","烈火战神","672","117","175","84","94","72","130","https://patchwiki.biligame.com/images/rocom/6/6a/hacle5ni5exjxhg13fofbitd0i3xw00.png","https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E6%88%98%E7%A5%9E"
"22","010","圣水守护","667","125","67","141","104","145","85","https://patchwiki.biligame.com/images/rocom/f/f5/fzch3e2qtlrly3p0mvgoc4287dgt2gf.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E6%B0%B4%E5%AE%88%E6%8A%A4"
"23","215","恶魔红钻","666","100","147","137","93","74","115","https://patchwiki.biligame.com/images/rocom/1/14/ow13sxw8jyv8sq7bhtvxn7yjl8mo88m.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%BA%A2%E9%92%BB"
"24","359","音碟吼","661","116","94","151","63","127","110","https://patchwiki.biligame.com/images/rocom/7/70/as6gc3vymzfws67futqaq3ymyr1ftbl.png","https://wiki.biligame.com/rocom/%E9%9F%B3%E7%A2%9F%E5%90%BC"
"25","305","古卷执政官","658","111","125","125","80","122","95","https://patchwiki.biligame.com/images/rocom/d/dc/numbiaa5oc8iursntgrv198ay097vnk.png","https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E6%89%A7%E6%94%BF%E5%AE%98"
"26","090","翠顶夫人","656","125","95","86","138","97","115","https://patchwiki.biligame.com/images/rocom/8/8d/0mse3bf6b98dflfbq9bwjeofgi8lo24.png","https://wiki.biligame.com/rocom/%E7%BF%A0%E9%A1%B6%E5%A4%AB%E4%BA%BA"
"27","268","绅士鸡","653","100","122","122","100","99","110","https://patchwiki.biligame.com/images/rocom/f/fc/tlu25qyk7b26q2d2fpv5mkuwafz4tv3.png","https://wiki.biligame.com/rocom/%E7%BB%85%E5%A3%AB%E9%B8%A1"
"28","091","黑羽夫人","652","132","93","87","130","90","120","https://patchwiki.biligame.com/images/rocom/6/63/6f0vzmzh3c2vr7vu4cli5ppzwcf18di.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%BE%BD%E5%A4%AB%E4%BA%BA"
"29","146","权杖-Ⅴ","652","103","105","97","136","136","75","https://patchwiki.biligame.com/images/rocom/1/13/t0s6mddc58b2nr8ezmolme9pn86uty5.png","https://wiki.biligame.com/rocom/%E6%9D%83%E6%9D%96-%E2%85%A4"
"30","164","怒目怂猫","651","92","132","126","111","95","95","https://patchwiki.biligame.com/images/rocom/0/08/0jj0vlt3qpo3dp9gha2nj5tbnydfvjp.png","https://wiki.biligame.com/rocom/%E6%80%92%E7%9B%AE%E6%80%82%E7%8C%AB"
"31","204","伊兰龙","651","112","91","190","69","99","90","https://patchwiki.biligame.com/images/rocom/0/01/l6x36cg23ukq4oqounv006bosvwuhsd.png","https://wiki.biligame.com/rocom/%E4%BC%8A%E5%85%B0%E9%BE%99"
"32","204","伊兰亚龙","651","112","91","190","69","99","90","https://patchwiki.biligame.com/images/rocom/d/df/o0eh3mugruyhxfjm57xlzjqq4y1hki3.png","https://wiki.biligame.com/rocom/%E4%BC%8A%E5%85%B0%E4%BA%9A%E9%BE%99"
"33","306","古卷匣魔像","650","114","109","109","134","89","95","https://patchwiki.biligame.com/images/rocom/1/18/6fhqn0ek9exvjnyj4rbdl14goi2l79m.png","https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E5%8C%A3%E9%AD%94%E5%83%8F"
"34","144","雪影冰灵","650","130","120","114","66","130","90","https://patchwiki.biligame.com/images/rocom/b/b5/q1m8ksutjvlfrfkjqd3o4hda5mac1es.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%86%B0%E7%81%B5"
"35","162","公平鸽","649","113","93","93","125","125","100","https://patchwiki.biligame.com/images/rocom/1/14/mfnm7m1309w6i464sm5kuagyb6yzxoi.png","https://wiki.biligame.com/rocom/%E5%85%AC%E5%B9%B3%E9%B8%BD"
"36","004","叶冕魔力猫","649","108","127","127","81","151","55","https://patchwiki.biligame.com/images/rocom/2/21/bex2jmtdhmnx0b0j1b1pfcmf5imwzyv.png","https://wiki.biligame.com/rocom/%E5%8F%B6%E5%86%95%E9%AD%94%E5%8A%9B%E7%8C%AB"
"37","243","闪电鳗鱼","646","85","115","115","104","112","115","https://patchwiki.biligame.com/images/rocom/c/cf/tfvre4g1cbdv74tv7wydn5udn5gtdiv.png","https://wiki.biligame.com/rocom/%E9%97%AA%E7%94%B5%E9%B3%97%E9%B1%BC"
"38","219","里拉鳐","644","118","82","89","103","147","105","https://patchwiki.biligame.com/images/rocom/8/80/13gxjtrh4mt3mhyoc1is69gz7vfm3tv.png","https://wiki.biligame.com/rocom/%E9%87%8C%E6%8B%89%E9%B3%90"
"39","141","雪灵","643","94","112","112","105","105","115","https://patchwiki.biligame.com/images/rocom/2/20/s8u199aia0fr684sn42zevm9y7jblmz.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E7%81%B5"
"40","117","彩虹独角兽","643","99","78","192","77","92","105","https://patchwiki.biligame.com/images/rocom/f/fe/bpf3jqzgjp0t47cqro78txddkoh70b4.png","https://wiki.biligame.com/rocom/%E5%BD%A9%E8%99%B9%E7%8B%AC%E8%A7%92%E5%85%BD"
"41","336","粉耳星兔","642","100","79","148","73","127","115","https://patchwiki.biligame.com/images/rocom/1/12/dfrmcjhoft7x9ne5xiint27n3ustjzx.png","https://wiki.biligame.com/rocom/%E7%B2%89%E8%80%B3%E6%98%9F%E5%85%94"
"42","368","咕德帽帽","642","128","92","90","137","95","100","https://patchwiki.biligame.com/images/rocom/b/b2/bz0anm1rgidlncbl96oh2tct3sypavw.png","https://wiki.biligame.com/rocom/%E5%92%95%E5%BE%B7%E5%B8%BD%E5%B8%BD"
"43","070","蒲公英娃娃","642","111","123","117","129","97","65","https://patchwiki.biligame.com/images/rocom/e/eb/8np4gxq8dybdydnv77kwoc300to6ont.png","https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1%E5%A8%83%E5%A8%83"
"44","200","梦想三三","641","81","117","107","113","113","110","https://patchwiki.biligame.com/images/rocom/a/a5/embzuzv9e1h1sp3btykrnthnsvqzwwh.png","https://wiki.biligame.com/rocom/%E6%A2%A6%E6%83%B3%E4%B8%89%E4%B8%89"
"45","334","贝古斯","641","132","76","130","85","163","55","https://patchwiki.biligame.com/images/rocom/0/0d/8cvnsom0kdicxcvjnut1lewivnuxgr2.png","https://wiki.biligame.com/rocom/%E8%B4%9D%E5%8F%A4%E6%96%AF"
"46","341","雅丹鬃","639","83","70","162","88","111","125","https://patchwiki.biligame.com/images/rocom/c/c2/1qy2ib6i9lr8p6c9gh8mfuo0df9a1tb.png","https://wiki.biligame.com/rocom/%E9%9B%85%E4%B8%B9%E9%AC%83"
"47","043","奇丽花","638","112","115","115","121","95","80","https://patchwiki.biligame.com/images/rocom/8/8c/dbgfehb9vsrkwnn1jkxtibxciapkdur.png","https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8A%B1"
"48","337","落陨星兔","637","93","61","125","87","141","130","https://patchwiki.biligame.com/images/rocom/8/86/jeo10wvmxho14u7cdmib8272dqfuzpr.png","https://wiki.biligame.com/rocom/%E8%90%BD%E9%99%A8%E6%98%9F%E5%85%94"
"49","374","帅帅魔偶","636","97","104","111","86","133","105","https://patchwiki.biligame.com/images/rocom/2/25/qjfnyp5cg0l1wyuoxsdqw5kfu9vxsfu.png","https://wiki.biligame.com/rocom/%E5%B8%85%E5%B8%85%E9%AD%94%E5%81%B6"
"50","355","雪怪","636","126","107","99","98","131","75","https://patchwiki.biligame.com/images/rocom/9/99/d6u149ckn7clje7g6gr0a2je0ve8g51.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E6%80%AA"
"51","155","针叶巡林","634","105","139","57","128","100","105","https://patchwiki.biligame.com/images/rocom/e/ea/3rpguccru3cfly322suefeqa3oy62vv.png","https://wiki.biligame.com/rocom/%E9%92%88%E5%8F%B6%E5%B7%A1%E6%9E%97"
"52","173","嗜波螺","634","112","98","98","146","110","70","https://patchwiki.biligame.com/images/rocom/9/97/sk3qfoelkzy6xlawmknc5svbmwiepqg.png","https://wiki.biligame.com/rocom/%E5%97%9C%E6%B3%A2%E8%9E%BA"
"53","197","白发路路","633","86","100","107","113","132","95","https://patchwiki.biligame.com/images/rocom/9/9a/hx21iweu65ojmeo4ws3ucpbsngknrv9.png","https://wiki.biligame.com/rocom/%E7%99%BD%E5%8F%91%E8%B7%AF%E8%B7%AF"
"54","295","龙息帕尔","632","130","127","57","131","87","100","https://patchwiki.biligame.com/images/rocom/0/0f/q0bwy4syzqav082nqhy9tl7i8hsirz4.png","https://wiki.biligame.com/rocom/%E9%BE%99%E6%81%AF%E5%B8%95%E5%B0%94"
"55","098","咔咔鸟","631","97","114","110","101","89","120","https://patchwiki.biligame.com/images/rocom/f/fa/9xi3n8libbst7y2xe4bja79hfbmcmmn.png","https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%B8%9F"
"56","324","窃光蚊","630","93","113","113","71","125","115","https://patchwiki.biligame.com/images/rocom/e/ee/9ftuu9x2yo8twq5h8lthgnelas283kg.png","https://wiki.biligame.com/rocom/%E7%AA%83%E5%85%89%E8%9A%8A"
"57","161","游蛇魔使","630","105","110","104","103","103","105","https://patchwiki.biligame.com/images/rocom/b/bf/oggcovajukek3g37v0dti0t7dguqkw2.png","https://wiki.biligame.com/rocom/%E6%B8%B8%E8%9B%87%E9%AD%94%E4%BD%BF"
"58","201","花怨鳗","630","232","73","73","110","90","52","https://patchwiki.biligame.com/images/rocom/0/02/167gulpq7gmilrurzc4r0yattm4ai8z.png","https://wiki.biligame.com/rocom/%E8%8A%B1%E6%80%A8%E9%B3%97"
"59","321","利灯鱼","626","128","68","138","71","116","105","https://patchwiki.biligame.com/images/rocom/f/f0/q3g76bthejmlv9o6phrchq0cpdlfzhy.png","https://wiki.biligame.com/rocom/%E5%88%A9%E7%81%AF%E9%B1%BC"
"60","210","小箱怪","625","111","103","103","122","122","64","https://patchwiki.biligame.com/images/rocom/0/0a/ocy3pzt2cn0mmx85cm8is2ulwy8s2ii.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E7%AE%B1%E6%80%AA"
"61","087","朔夜伊芙","624","100","115","105","104","85","115","https://patchwiki.biligame.com/images/rocom/4/47/iefezmj355h7aifobba452t5fax5sup.png","https://wiki.biligame.com/rocom/%E6%9C%94%E5%A4%9C%E4%BC%8A%E8%8A%99"
"62","357","爆焰喷喷","624","112","127","63","131","81","110","https://patchwiki.biligame.com/images/rocom/c/c9/4kwiyv4q1ohug7ja97ftajf8r9usjqe.png","https://wiki.biligame.com/rocom/%E7%88%86%E7%84%B0%E5%96%B7%E5%96%B7"
"63","213","寒音蛇（本来的样子）","623","141","89","89","90","114","100","https://patchwiki.biligame.com/images/rocom/9/9b/pij7rej26vdekdc90n4xaep64r1011l.png","https://wiki.biligame.com/rocom/%E5%AF%92%E9%9F%B3%E8%9B%87%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"64","260","乌拉塔（极夜的样子）","622","160","158","91","106","57","50","https://patchwiki.biligame.com/images/rocom/9/9f/d5gtn8k9ptnttbxmlo0pndyiy61wdsu.png","https://wiki.biligame.com/rocom/%E4%B9%8C%E6%8B%89%E5%A1%94%EF%BC%88%E6%9E%81%E5%A4%9C%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"65","010","水灵","621","125","58","127","94","132","85","https://patchwiki.biligame.com/images/rocom/5/50/33by7ml0nsrsxxq1l8l2uj4izqnuwpd.png","https://wiki.biligame.com/rocom/%E6%B0%B4%E7%81%B5"
"66","023","幻影灵菇","621","111","98","98","103","136","75","https://patchwiki.biligame.com/images/rocom/0/0f/915lidbxavc7iprutynlt2z380lxb7x.png","https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E7%81%B5%E8%8F%87"
"67","122","黑猫密探","621","149","65","118","90","129","70","https://patchwiki.biligame.com/images/rocom/5/50/bpobcq4lgfb7e4m0wy3dy5esbqn8hmt.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%AF%86%E6%8E%A2"
"68","353","凡鹰","620","118","92","89","86","110","125","https://patchwiki.biligame.com/images/rocom/f/f2/mjr3868sdrox5qo44kd6m3mnvma2wwa.png","https://wiki.biligame.com/rocom/%E5%87%A1%E9%B9%B0"
"69","301","画间法师手","619","101","53","131","94","120","120","https://patchwiki.biligame.com/images/rocom/2/2a/m0rnppd2iwqm9h78gft0jkwzqje5v5h.png","https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B3%95%E5%B8%88%E6%89%8B"
"70","187","卡洛儿","619","114","102","107","82","124","90","https://patchwiki.biligame.com/images/rocom/c/c9/t773ll421ypqybexg7xzjb3qs2rt2m0.png","https://wiki.biligame.com/rocom/%E5%8D%A1%E6%B4%9B%E5%84%BF"
"71","272","噼啪鸟","618","78","116","109","85","85","145","https://patchwiki.biligame.com/images/rocom/5/5f/67uopai58qg98apg0dci57gi1bgxhn4.png","https://wiki.biligame.com/rocom/%E5%99%BC%E5%95%AA%E9%B8%9F"
"72","331","小皮球","618","116","68","127","71","126","110","https://patchwiki.biligame.com/images/rocom/1/11/coplggyd0xwtvzzkw5d1say369yg1oy.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E7%9A%AE%E7%90%83"
"73","081","星光狮（星光能量的样子）","617","75","101","106","90","110","135","https://patchwiki.biligame.com/images/rocom/7/75/cjjrzihw6bz4uzfdn1npim98tas9p21.png","https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"74","081","星光狮（月光能量的样子）","617","80","95","107","90","120","125","https://patchwiki.biligame.com/images/rocom/d/d6/iixbxn3wupmru7y4ms0r4u8gk6g6ais.png","https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%9C%88%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"75","178","斑枭","617","89","112","112","89","100","115","https://patchwiki.biligame.com/images/rocom/a/a7/hnf5vk2e32l7c5s4rozuy2iuopkykoq.png","https://wiki.biligame.com/rocom/%E6%96%91%E6%9E%AD"
"76","144","雪影娃娃","617","130","103","98","66","130","90","https://patchwiki.biligame.com/images/rocom/1/12/ixakouy2o2kjsl0ytlhtdzhoukgoq3o.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%A8%83%E5%A8%83"
"77","173","嗜波螺（被污染的样子）","617","107","95","95","106","144","70","https://patchwiki.biligame.com/images/rocom/8/84/hjslnay7yycwetnsyo6yjo92gtu2xnp.png","https://wiki.biligame.com/rocom/%E5%97%9C%E6%B3%A2%E8%9E%BA%EF%BC%88%E8%A2%AB%E6%B1%A1%E6%9F%93%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"78","124","影狸","616","97","109","105","105","70","130","https://patchwiki.biligame.com/images/rocom/5/50/cwmitfohkag0d2t5zfu055dhwrm4vxk.png","https://wiki.biligame.com/rocom/%E5%BD%B1%E7%8B%B8"
"79","236","圣代甜甜（杨桃巧克力口味）","615","110","116","120","73","96","100","https://patchwiki.biligame.com/images/rocom/2/29/t7h3kh0kxojtjq96942lz3ogfu3vp3h.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89"
"80","122","黑猫巫师","615","149","53","124","90","129","70","https://patchwiki.biligame.com/images/rocom/c/cb/9uippciulkrlx979x5xnv9aqoprjcek.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%B7%AB%E5%B8%88"
"81","260","乌拉塔（极昼的样子）","615","134","158","82","116","70","55","https://patchwiki.biligame.com/images/rocom/e/e9/2j3t5mjcljnsc1hw72btjrebq8td3ug.png","https://wiki.biligame.com/rocom/%E4%B9%8C%E6%8B%89%E5%A1%94%EF%BC%88%E6%9E%81%E6%98%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"82","236","圣代甜甜（樱桃草莓口味）","614","107","120","110","81","96","100","https://patchwiki.biligame.com/images/rocom/8/85/pcqrzberxe27iicgvc9bl23otpoolrs.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
"83","375","学院呱呱","614","132","99","99","92","92","100","https://patchwiki.biligame.com/images/rocom/e/ed/5iykheuen7ytwki234zxp26ybmvsz7a.png","https://wiki.biligame.com/rocom/%E5%AD%A6%E9%99%A2%E5%91%B1%E5%91%B1"
"84","004","魔力猫","613","108","109","109","81","151","55","https://patchwiki.biligame.com/images/rocom/3/33/p4l4i0xh8rzj0mosp9sgw4qjfvlbl0r.png","https://wiki.biligame.com/rocom/%E9%AD%94%E5%8A%9B%E7%8C%AB"
"85","007","火神","613",,,,,,,"https://patchwiki.biligame.com/images/rocom/4/4f/627a47xjvghn9okifk66vhsx4uv7101.png","https://wiki.biligame.com/rocom/%E7%81%AB%E7%A5%9E"
"86","312","疾光千兽","612","104","146","67","112","73","110","https://patchwiki.biligame.com/images/rocom/b/ba/18st3mhvamod8xnva8rybnme9cgkc9b.png","https://wiki.biligame.com/rocom/%E7%96%BE%E5%85%89%E5%8D%83%E5%85%BD"
"87","236","圣代甜甜","612","119","112","119","70","92","100","https://patchwiki.biligame.com/images/rocom/c/ca/73y6hx9ejbcli53vysobr9g1wty7utz.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C"
"88","236","圣代甜甜（蓝莓巧克力口味）","612","114","117","110","79","92","100","https://patchwiki.biligame.com/images/rocom/1/15/ef3afe21zib84vovuamb6hlni2irvt5.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89"
"89","236","圣代甜甜（樱桃抹茶口味）","611","113","112","110","79","92","105","https://patchwiki.biligame.com/images/rocom/f/f0/hto166e5pdv3us1t7ag7x24h1s487xe.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89"
"90","236","圣代甜甜（杨桃草莓口味）","611","108","110","110","84","99","100","https://patchwiki.biligame.com/images/rocom/2/2f/mzdnvfoudyx442h7ztaxlgo4upbb17c.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
"91","056","幽冥眼（睁眼的样子）","610","92","50","120","98","135","115","https://patchwiki.biligame.com/images/rocom/2/23/1y27uyj9zvo1gctws3g4ru9kgsg3thg.png","https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"92","220","海枝枝（碧蓝珊瑚）","610","78","58","148","96","120","110","https://patchwiki.biligame.com/images/rocom/5/5b/efwbtnaynmpx9y85y1obfzoch17c5do.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E7%A2%A7%E8%93%9D%E7%8F%8A%E7%91%9A%EF%BC%89"
"93","220","海枝枝（洋红沙丁）","610","97","62","136","84","121","110","https://patchwiki.biligame.com/images/rocom/d/d0/mkug3arsv93oibilcf93wgiksue32zw.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E6%B4%8B%E7%BA%A2%E6%B2%99%E4%B8%81%EF%BC%89"
"94","236","圣代甜甜（杨桃抹茶口味）","610","110","107","110","82","96","105","https://patchwiki.biligame.com/images/rocom/3/3d/70pziam7w90ngwk40cu163okgk3isem.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89"
"95","269","武者鸡","610","105","132","98","92","88","95","https://patchwiki.biligame.com/images/rocom/d/d5/j89f9kespq4zwjb6h67ew9wvsnd88g0.png","https://wiki.biligame.com/rocom/%E6%AD%A6%E8%80%85%E9%B8%A1"
"96","238","月亮砣（上弦的样子）","609","125","100","98","100","81","105","https://patchwiki.biligame.com/images/rocom/5/57/g05gs80tzawvv41wkfo6r8cuf1tuue9.png","https://wiki.biligame.com/rocom/%E6%9C%88%E4%BA%AE%E7%A0%A3%EF%BC%88%E4%B8%8A%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"97","238","月亮砣（下弦的样子）","609","125","98","100","81","100","105","https://patchwiki.biligame.com/images/rocom/6/68/sqgnlms9lse6u196qh3t2esffja5d9e.png","https://wiki.biligame.com/rocom/%E6%9C%88%E4%BA%AE%E7%A0%A3%EF%BC%88%E4%B8%8B%E5%BC%A6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"98","302","画间沉铁兽","608","100","160","67","100","76","105","https://patchwiki.biligame.com/images/rocom/6/61/g4rq03yecy8xudglhc96lhi5ie4zri4.png","https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B2%89%E9%93%81%E5%85%BD"
"99","236","圣代甜甜（蓝莓草莓口味）","608","113","109","100","90","96","100","https://patchwiki.biligame.com/images/rocom/0/08/t5b7gjd30dl60kiol7vg813wvxtug3i.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
