"rank","number","name","physical_attack","stats_total","hp","magic_attack","physical_defense","magic_defense","speed","image_url","source_url"
"29","211","迷迷箱怪","129","782","138","129","153","153","80","https://patchwiki.biligame.com/images/rocom/0/01/g7z9d41f10oqqtxn42417tov8gcg4bo.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E8%BF%B7%E7%AE%B1%E6%80%AA"
"30","043","奇丽果","128","686","112","128","133","105","80","https://patchwiki.biligame.com/images/rocom/0/02/34mpv4ti9cwjytjgw6d8wt5q0vn5d86.png","https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E6%9E%9C"
"31","200","奇梦咪","128","684","81","119","123","123","110","https://patchwiki.biligame.com/images/rocom/2/2f/avu0fx5ey1z75o1j6o9bnbqle8lxy2b.png","https://wiki.biligame.com/rocom/%E5%A5%87%E6%A2%A6%E5%92%AA"
"32","020","岚鸟（本来的样子）","128","570","90","55","108","74","115","https://patchwiki.biligame.com/images/rocom/7/7f/ac3t55pytqhv4x8c9z9w7w6k00glr8p.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"33","048","风暴战犬","128","562","85","46","101","82","120","https://patchwiki.biligame.com/images/rocom/1/13/a4ia4bjbsmjsr1gjwdtyxhnbqm2w0ib.png","https://wiki.biligame.com/rocom/%E9%A3%8E%E6%9A%B4%E6%88%98%E7%8A%AC"
"34","048","音速犬","128","562","85","46","101","82","120","https://patchwiki.biligame.com/images/rocom/4/4e/8rkwz0k7qvejlxs78isa65ajn16o1qk.png","https://wiki.biligame.com/rocom/%E9%9F%B3%E9%80%9F%E7%8A%AC"
"35","020","岚鸟（春天的样子）","128","558","93","44","97","81","115","https://patchwiki.biligame.com/images/rocom/8/8c/ddrlezesktm4eccjnz2289nvce5n7g3.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"36","004","叶冕魔力猫","127","649","108","127","81","151","55","https://patchwiki.biligame.com/images/rocom/2/21/bex2jmtdhmnx0b0j1b1pfcmf5imwzyv.png","https://wiki.biligame.com/rocom/%E5%8F%B6%E5%86%95%E9%AD%94%E5%8A%9B%E7%8C%AB"
"37","295","龙息帕尔","127","632","130","57","131","87","100","https://patchwiki.biligame.com/images/rocom/0/0f/q0bwy4syzqav082nqhy9tl7i8hsirz4.png","https://wiki.biligame.com/rocom/%E9%BE%99%E6%81%AF%E5%B8%95%E5%B0%94"
"38","357","爆焰喷喷","127","624","112","63","131","81","110","https://patchwiki.biligame.com/images/rocom/c/c9/4kwiyv4q1ohug7ja97ftajf8r9usjqe.png","https://wiki.biligame.com/rocom/%E7%88%86%E7%84%B0%E5%96%B7%E5%96%B7"
"39","020","岚鸟（秋天的样子）","127","557","90","42","98","85","115","https://patchwiki.biligame.com/images/rocom/a/a1/gyd3tqovbtxam8gyra1wony6whttkv9.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"40","106","阿米樱","127","480","86","62","89","56","60","https://patchwiki.biligame.com/images/rocom/c/c6/mlsnrq1x6vea9vvb932aajlqpafb72q.png","https://wiki.biligame.com/rocom/%E9%98%BF%E7%B1%B3%E6%A8%B1"
"41","189","棋骑士（白子）","126","543","90","45","88","69","125","https://patchwiki.biligame.com/images/rocom/6/6c/8vu1ju9uu71aux8unhdyq9gcfw9if5p.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E9%AA%91%E5%A3%AB%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89"
"42","259","迷你乌（极夜的样子）","126","498","128","73","85","46","40","https://patchwiki.biligame.com/images/rocom/7/79/oh8iteeptmtlukbmp3fsu3chacsvfte.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E4%BD%A0%E4%B9%8C%EF%BC%88%E6%9E%81%E5%A4%9C%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"43","259","迷你乌（极昼的样子）","126","492","107","66","93","56","44","https://patchwiki.biligame.com/images/rocom/4/4a/herfyv2d6y7yvyv02hnk8kkmp84ogsm.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E4%BD%A0%E4%B9%8C%EF%BC%88%E6%9E%81%E6%98%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"44","372","巨鼓象","125","675","133","79","173","85","80","https://patchwiki.biligame.com/images/rocom/b/be/gme0i4md3g3rianh5x6xdk60j4p3jhz.png","https://wiki.biligame.com/rocom/%E5%B7%A8%E9%BC%93%E8%B1%A1"
"45","305","古卷执政官","125","658","111","125","80","122","95","https://patchwiki.biligame.com/images/rocom/d/dc/numbiaa5oc8iursntgrv198ay097vnk.png","https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E6%89%A7%E6%94%BF%E5%AE%98"
"46","074","动力猿","125","547","115","51","108","88","60","https://patchwiki.biligame.com/images/rocom/9/98/okpl88mwskdjsdfwxwln1kbpwxxly69.png","https://wiki.biligame.com/rocom/%E5%8A%A8%E5%8A%9B%E7%8C%BF"
"47","230","声波缇塔","124","568","92","48","122","92","90","https://patchwiki.biligame.com/images/rocom/7/74/4k4r9jprm32qjya3epducxn4m8q79al.png","https://wiki.biligame.com/rocom/%E5%A3%B0%E6%B3%A2%E7%BC%87%E5%A1%94"
"48","070","蒲公英娃娃","123","642","111","117","129","97","65","https://patchwiki.biligame.com/images/rocom/e/eb/8np4gxq8dybdydnv77kwoc300to6ont.png","https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1%E5%A8%83%E5%A8%83"
"49","268","绅士鸡","122","653","100","122","100","99","110","https://patchwiki.biligame.com/images/rocom/f/fc/tlu25qyk7b26q2d2fpv5mkuwafz4tv3.png","https://wiki.biligame.com/rocom/%E7%BB%85%E5%A3%AB%E9%B8%A1"
"50","223","波多西","122","573","106","43","136","116","50","https://patchwiki.biligame.com/images/rocom/9/9b/hxurck559b80j25wgnn3rnydhoupa4z.png","https://wiki.biligame.com/rocom/%E6%B3%A2%E5%A4%9A%E8%A5%BF"
"51","131","恶魔狼王","121","560","115","50","91","63","120","https://patchwiki.biligame.com/images/rocom/c/cd/1qfkgvqe3ah6vtttso6rmj8eeddxh6u.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC%E7%8E%8B"
"52","189","棋骑士（黑子）","121","522","83","43","84","66","125","https://patchwiki.biligame.com/images/rocom/2/28/opq7dnblmw29jx3r7l6mipn76vn336t.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E9%AA%91%E5%A3%AB%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89"
"53","144","雪影冰灵","120","650","130","114","66","130","90","https://patchwiki.biligame.com/images/rocom/b/b5/q1m8ksutjvlfrfkjqd3o4hda5mac1es.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%86%B0%E7%81%B5"
"54","236","圣代甜甜（樱桃草莓口味）","120","614","107","110","81","96","100","https://patchwiki.biligame.com/images/rocom/8/85/pcqrzberxe27iicgvc9bl23otpoolrs.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
"55","282","秩序鱿墨","120","604","78","39","124","113","130","https://patchwiki.biligame.com/images/rocom/f/fa/hcovzifwgad156lg6jwk02nd4nhsckv.png","https://wiki.biligame.com/rocom/%E7%A7%A9%E5%BA%8F%E9%B1%BF%E5%A2%A8"
"56","326","燃薪虫","120","579","135","48","103","73","100","https://patchwiki.biligame.com/images/rocom/8/88/h3usttwjdsh4q3vn5t2st0g24nlv4go.png","https://wiki.biligame.com/rocom/%E7%87%83%E8%96%AA%E8%99%AB"
"57","279","遁地鼠（枯水期的样子）","119","596","110","51","121","85","110","https://patchwiki.biligame.com/images/rocom/3/3f/tfoq58kdykf2kzslpubl87ceyiu4c0r.png","https://wiki.biligame.com/rocom/%E9%81%81%E5%9C%B0%E9%BC%A0%EF%BC%88%E6%9E%AF%E6%B0%B4%E6%9C%9F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"58","138","獠牙猪","119","579","123","41","110","101","85","https://patchwiki.biligame.com/images/rocom/e/e7/9k7bizwcoun5u7cvgvqgchfd9dmyxou.png","https://wiki.biligame.com/rocom/%E7%8D%A0%E7%89%99%E7%8C%AA"
"59","279","遁地鼠（储水期的样子）","118","569","112","23","85","131","100","https://patchwiki.biligame.com/images/rocom/8/8d/495r6poo162fmecxg7e2nhp2qftbwef.png","https://wiki.biligame.com/rocom/%E9%81%81%E5%9C%B0%E9%BC%A0%EF%BC%88%E5%82%A8%E6%B0%B4%E6%9C%9F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"60","200","梦想三三","117","641","81","107","113","113","110","https://patchwiki.biligame.com/images/rocom/a/a5/embzuzv9e1h1sp3btykrnthnsvqzwwh.png","https://wiki.biligame.com/rocom/%E6%A2%A6%E6%83%B3%E4%B8%89%E4%B8%89"
"61","236","圣代甜甜（蓝莓巧克力口味）","117","612","114","110","79","92","100","https://patchwiki.biligame.com/images/rocom/1/15/ef3afe21zib84vovuamb6hlni2irvt5.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89"
"62","218","烈火守护","117","564","105","49","135","93","65","https://patchwiki.biligame.com/images/rocom/3/36/8wp59h53ob7gllbz8yewg91ppibly6x.png","https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E5%AE%88%E6%8A%A4"
"63","214","矮脚爬爬","117","532","80","110","74","59","92","https://patchwiki.biligame.com/images/rocom/4/4f/40765c203k2jjtugv9tbciczhr4jmxv.png","https://wiki.biligame.com/rocom/%E7%9F%AE%E8%84%9A%E7%88%AC%E7%88%AC"
"64","311","光纤兽","117","490","83","54","90","58","88","https://patchwiki.biligame.com/images/rocom/5/54/b5avo6zna4cj4lvypoku4djknndvj61.png","https://wiki.biligame.com/rocom/%E5%85%89%E7%BA%A4%E5%85%BD"
"65","285","圣剑侍从","116","696","139","111","139","139","52","https://patchwiki.biligame.com/images/rocom/1/1d/6w4z6k41648qw2uagnoz0ac081trrgi.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E4%BE%8D%E4%BB%8E"
"66","272","噼啪鸟","116","618","78","109","85","85","145","https://patchwiki.biligame.com/images/rocom/5/5f/67uopai58qg98apg0dci57gi1bgxhn4.png","https://wiki.biligame.com/rocom/%E5%99%BC%E5%95%AA%E9%B8%9F"
"67","236","圣代甜甜（杨桃巧克力口味）","116","615","110","120","73","96","100","https://patchwiki.biligame.com/images/rocom/2/29/t7h3kh0kxojtjq96942lz3ogfu3vp3h.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89"
"68","167","皇家狮鹫（崖间地的样子）","116","604","107","69","127","65","120","https://patchwiki.biligame.com/images/rocom/0/09/nji78x7xa58n2ye2yhkqgedpywia239.png","https://wiki.biligame.com/rocom/%E7%9A%87%E5%AE%B6%E7%8B%AE%E9%B9%AB%EF%BC%88%E5%B4%96%E9%97%B4%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"69","363","小丑兔","116","583","88","118","66","99","96","https://patchwiki.biligame.com/images/rocom/6/6d/7yy4hm1g7qzk4jp6epg46savfr7s9im.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%94"
"70","243","闪电鳗鱼","115","646","85","115","104","112","115","https://patchwiki.biligame.com/images/rocom/c/cf/tfvre4g1cbdv74tv7wydn5udn5gtdiv.png","https://wiki.biligame.com/rocom/%E9%97%AA%E7%94%B5%E9%B3%97%E9%B1%BC"
"71","043","奇丽花","115","638","112","115","121","95","80","https://patchwiki.biligame.com/images/rocom/8/8c/dbgfehb9vsrkwnn1jkxtibxciapkdur.png","https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8A%B1"
"72","087","朔夜伊芙","115","624","100","105","104","85","115","https://patchwiki.biligame.com/images/rocom/4/47/iefezmj355h7aifobba452t5fax5sup.png","https://wiki.biligame.com/rocom/%E6%9C%94%E5%A4%9C%E4%BC%8A%E8%8A%99"
"73","098","咔咔鸟","114","631","97","110","101","89","120","https://patchwiki.biligame.com/images/rocom/f/fa/9xi3n8libbst7y2xe4bja79hfbmcmmn.png","https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%B8%9F"
"74","131","恶魔狼","114","548","115","45","91","63","120","https://patchwiki.biligame.com/images/rocom/6/6a/8rz167blfbrzzs44u5mq8a0k7im6ap8.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC"
"75","225","翼龙","114","513","83","31","91","79","115","https://patchwiki.biligame.com/images/rocom/5/55/bb3dr6l4zb07mt2rpg6euok2j54m82n.png","https://wiki.biligame.com/rocom/%E7%BF%BC%E9%BE%99"
"76","324","窃光蚊","113","630","93","113","71","125","115","https://patchwiki.biligame.com/images/rocom/e/ee/9ftuu9x2yo8twq5h8lthgnelas283kg.png","https://wiki.biligame.com/rocom/%E7%AA%83%E5%85%89%E8%9A%8A"
"77","182","海豹船长","113","600","90","109","111","77","100","https://patchwiki.biligame.com/images/rocom/f/fc/nrbg9xhvigh963cwi1nyqt6kl6t68zv.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E8%B1%B9%E8%88%B9%E9%95%BF"
"78","350","机幕方舟","113","597","104","105","130","90","55","https://patchwiki.biligame.com/images/rocom/1/10/krwq0dk4nsdov7hbpgjg9hd2llgqolq.png","https://wiki.biligame.com/rocom/%E6%9C%BA%E5%B9%95%E6%96%B9%E8%88%9F"
"79","104","魔眷鸟","113","551","87","34","94","88","135","https://patchwiki.biligame.com/images/rocom/7/76/qdoq3s6blcshbk7z6iki63glfphv1ap.png","https://wiki.biligame.com/rocom/%E9%AD%94%E7%9C%B7%E9%B8%9F"
"80","141","雪灵","112","643","94","112","105","105","115","https://patchwiki.biligame.com/images/rocom/2/20/s8u199aia0fr684sn42zevm9y7jblmz.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E7%81%B5"
"81","178","斑枭","112","617","89","112","89","100","115","https://patchwiki.biligame.com/images/rocom/a/a7/hnf5vk2e32l7c5s4rozuy2iuopkykoq.png","https://wiki.biligame.com/rocom/%E6%96%91%E6%9E%AD"
"82","236","圣代甜甜","112","612","119","119","70","92","100","https://patchwiki.biligame.com/images/rocom/c/ca/73y6hx9ejbcli53vysobr9g1wty7utz.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C"
"83","236","圣代甜甜（樱桃抹茶口味）","112","611","113","110","79","92","105","https://patchwiki.biligame.com/images/rocom/f/f0/hto166e5pdv3us1t7ag7x24h1s487xe.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89"
"84","288","泥吼牙","112","569","124","41","109","88","95","https://patchwiki.biligame.com/images/rocom/f/f0/imncv1vv01zbrx7tkjij3xtarmhl2id.png","https://wiki.biligame.com/rocom/%E6%B3%A5%E5%90%BC%E7%89%99"
"85","030","恶魔叮","112","427","86","44","58","43","84","https://patchwiki.biligame.com/images/rocom/1/1e/dup0zejk454blppyqq2c2q7mnym6s4s.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E5%8F%AE"
"86","017","花影羚羊","111","582","112","48","120","81","110","https://patchwiki.biligame.com/images/rocom/b/b5/kyhqvze7bxy684o6pql6pkank91011k.png","https://wiki.biligame.com/rocom/%E8%8A%B1%E5%BD%B1%E7%BE%9A%E7%BE%8A"
"87","154","松叶羊","111","507","84","46","102","80","84","https://patchwiki.biligame.com/images/rocom/1/10/jyqtkp0noekyg69k59jbsmgjv6gjwmz.png","https://wiki.biligame.com/rocom/%E6%9D%BE%E5%8F%B6%E7%BE%8A"
"88","006","焰火","111","490","93","49","75","58","104","https://patchwiki.biligame.com/images/rocom/b/b9/r8j0510jtxabhlyl5srx22orefxhh5g.png","https://wiki.biligame.com/rocom/%E7%84%B0%E7%81%AB"
"89","161","游蛇魔使","110","630","105","104","103","103","105","https://patchwiki.biligame.com/images/rocom/b/bf/oggcovajukek3g37v0dti0t7dguqkw2.png","https://wiki.biligame.com/rocom/%E6%B8%B8%E8%9B%87%E9%AD%94%E4%BD%BF"
"90","236","圣代甜甜（杨桃草莓口味）","110","611","108","110","84","99","100","https://patchwiki.biligame.com/images/rocom/2/2f/mzdnvfoudyx442h7ztaxlgo4upbb17c.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
"91","167","皇家狮鹫（高山地的样子）","110","596","109","59","123","70","125","https://patchwiki.biligame.com/images/rocom/b/bc/4qgxh1xp5dtis0ktl2dy5n6bv395c2r.png","https://wiki.biligame.com/rocom/%E7%9A%87%E5%AE%B6%E7%8B%AE%E9%B9%AB%EF%BC%88%E9%AB%98%E5%B1%B1%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"92","152","圣羽翼王","109","686","132","109","128","83","125","https://patchwiki.biligame.com/images/rocom/4/40/lbxi6r2yicliuipn8dp7n5pk90xfjo4.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E7%BE%BD%E7%BF%BC%E7%8E%8B"
"93","306","古卷匣魔像","109","650","114","109","134","89","95","https://patchwiki.biligame.com/images/rocom/1/18/6fhqn0ek9exvjnyj4rbdl14goi2l79m.png","https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E5%8C%A3%E9%AD%94%E5%83%8F"
"94","124","影狸","109","616","97","105","105","70","130","https://patchwiki.biligame.com/images/rocom/5/50/cwmitfohkag0d2t5zfu055dhwrm4vxk.png","https://wiki.biligame.com/rocom/%E5%BD%B1%E7%8B%B8"
"95","004","魔力猫","109","613","108","109","81","151","55","https://patchwiki.biligame.com/images/rocom/3/33/p4l4i0xh8rzj0mosp9sgw4qjfvlbl0r.png","https://wiki.biligame.com/rocom/%E9%AD%94%E5%8A%9B%E7%8C%AB"
"96","236","圣代甜甜（蓝莓草莓口味）","109","608","113","100","90","96","100","https://patchwiki.biligame.com/images/rocom/0/08/t5b7gjd30dl60kiol7vg813wvxtug3i.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89"
"97","289","大头骨龙","109","442","96","40","84","65","48","https://patchwiki.biligame.com/images/rocom/d/dc/oaohfrfv4b6cx8elngiwarhn9phgzch.png","https://wiki.biligame.com/rocom/%E5%A4%A7%E5%A4%B4%E9%AA%A8%E9%BE%99"
"98","361","加油蟹","108","683","116","108","128","128","95","https://patchwiki.biligame.com/images/rocom/b/b7/bwgqo7846qudxrgaec4wvjdbqvddije.png","https://wiki.biligame.com/rocom/%E5%8A%A0%E6%B2%B9%E8%9F%B9"
"99","095","记忆石","108","607","112","97","141","79","70","https://patchwiki.biligame.com/images/rocom/0/0a/q6hhh7atr12ne3qx79r3q311a3pcmo9.png","https://wiki.biligame.com/rocom/%E8%AE%B0%E5%BF%86%E7%9F%B3"
