number,name,file,source,image_url,source_url
018,雪绒鸟（春天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\018_雪绒鸟（春天的样子）.png,download,https://patchwiki.biligame.com/images/rocom/4/49/0cf1n3w3u7u2s4tscjcyrybihteudot.png,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
018,雪绒鸟（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\018_雪绒鸟（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/1/1c/1fd8czi6rfr8nf738hbqozt6bozum44.png,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
018,雪绒鸟（秋天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\018_雪绒鸟（秋天的样子）.png,download,https://patchwiki.biligame.com/images/rocom/8/83/p8qv6jiitsz1yuiqm99r5t7tsy14248.png,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
019,冬羽雀（夏天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\019_冬羽雀（夏天的样子）.png,download,https://patchwiki.biligame.com/images/rocom/3/31/3baz2hoo3jex6uemnb28s6ixv7jly0t.png,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
019,冬羽雀（春天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\019_冬羽雀（春天的样子）.png,download,https://patchwiki.biligame.com/images/rocom/c/c6/afxxd61vfdof1j2qhqt6wqhqri3bc65.png,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
019,冬羽雀（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\019_冬羽雀（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/3/35/jmw35rn0cvpfhfqzbrqohexipzm8xg1.png,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
019,冬羽雀（秋天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\019_冬羽雀（秋天的样子）.png,download,https://patchwiki.biligame.com/images/rocom/d/d9/m67xz7bn1281f9do31ku5mfoz1azsy3.png,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
020,岚鸟（夏天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\020_岚鸟（夏天的样子）.png,existing,https://patchwiki.biligame.com/images/rocom/7/7b/aqr0u8eiajno6zwl4j8o3nmi9z6vmyv.png,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
020,岚鸟（春天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\020_岚鸟（春天的样子）.png,existing,https://patchwiki.biligame.com/images/rocom/8/8c/ddrlezesktm4eccjnz2289nvce5n7g3.png,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
020,岚鸟（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\020_岚鸟（本来的样子）.png,existing,https://patchwiki.biligame.com/images/rocom/7/7f/ac3t55pytqhv4x8c9z9w7w6k00glr8p.png,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
020,岚鸟（秋天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\020_岚鸟（秋天的样子）.png,existing,https://patchwiki.biligame.com/images/rocom/a/a1/gyd3tqovbtxam8gyra1wony6whttkv9.png,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
020,霜翼领主,E:\luokewangguo\roco_world_data\data\spirit_images\020_霜翼领主.png,existing,https://patchwiki.biligame.com/images/rocom/1/15/epj3pmupds3fqc45iw7zisp9s957w62.png,https://wiki.biligame.com/rocom/%E9%9C%9C%E7%BF%BC%E9%A2%86%E4%B8%BB
021,小灵菇,E:\luokewangguo\roco_world_data\data\spirit_images\021_小灵菇.png,download,https://patchwiki.biligame.com/images/rocom/b/b8/ltybffbpudghq5tx60h70gy1vdj5xpa.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%81%B5%E8%8F%87
022,幻灵菇,E:\luokewangguo\roco_world_data\data\spirit_images\022_幻灵菇.png,download,https://patchwiki.biligame.com/images/rocom/8/8b/3xoutgdtyr7y19dtslj9ijfxv20wb69.png,https://wiki.biligame.com/rocom/%E5%B9%BB%E7%81%B5%E8%8F%87
023,幻影灵菇,E:\luokewangguo\roco_world_data\data\spirit_images\023_幻影灵菇.png,existing,https://patchwiki.biligame.com/images/rocom/0/0f/915lidbxavc7iprutynlt2z380lxb7x.png,https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E7%81%B5%E8%8F%87
024,石肤蜥（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\024_石肤蜥（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/8/8e/gfeccz7923wkt2g0k4zn9isjx7g52r3.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
024,石肤蜥（球球尾巴的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\024_石肤蜥（球球尾巴的样子）.png,download,https://patchwiki.biligame.com/images/rocom/0/0d/26e4sxceqbbtj6jaa03zttips3weal4.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
025,石刺蜥（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\025_石刺蜥（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/d/d1/dt0gk8z1gtu051gl10yoxdelrkk5aib.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
025,石刺蜥（球球尾巴的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\025_石刺蜥（球球尾巴的样子）.png,download,https://patchwiki.biligame.com/images/rocom/8/87/cnrop13tuprzaltkldd3817f9gfjw28.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
026,石冠王蜥（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\026_石冠王蜥（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/0/00/dlzc7ctb4qlsc5pbonhpcu7kky4x3uz.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%86%A0%E7%8E%8B%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
026,石冠王蜥（球球尾巴的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\026_石冠王蜥（球球尾巴的样子）.png,download,https://patchwiki.biligame.com/images/rocom/9/9b/exwxjbz0qds6dvsq8d7jj46q9sdmyux.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%86%A0%E7%8E%8B%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
027,布是石,E:\luokewangguo\roco_world_data\data\spirit_images\027_布是石.png,download,https://patchwiki.biligame.com/images/rocom/8/89/n2olozya089rge7wuokp3nazl44xqst.png,https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E7%9F%B3
028,布是岩,E:\luokewangguo\roco_world_data\data\spirit_images\028_布是岩.png,existing,https://patchwiki.biligame.com/images/rocom/f/f7/k35p74v6zheql64uqzmjj76g1yalg5e.png,https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E5%B2%A9
029,布克棱岩,E:\luokewangguo\roco_world_data\data\spirit_images\029_布克棱岩.png,existing,https://patchwiki.biligame.com/images/rocom/5/54/108j9nm783krd2nenbkyvvgy2xkgoso.png,https://wiki.biligame.com/rocom/%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9
029,迷嶂布莱克,E:\luokewangguo\roco_world_data\data\spirit_images\029_迷嶂布莱克.png,existing,https://patchwiki.biligame.com/images/rocom/8/80/dyd0s9we1cd554cbcxlq27vvrgwo8mw.png,https://wiki.biligame.com/rocom/%E8%BF%B7%E5%B6%82%E5%B8%83%E8%8E%B1%E5%85%8B
030,恶魔叮,E:\luokewangguo\roco_world_data\data\spirit_images\030_恶魔叮.png,existing,https://patchwiki.biligame.com/images/rocom/1/1e/dup0zejk454blppyqq2c2q7mnym6s4s.png,https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E5%8F%AE
031,叮叮恶魔,E:\luokewangguo\roco_world_data\data\spirit_images\031_叮叮恶魔.png,existing,https://patchwiki.biligame.com/images/rocom/0/0b/o9iqtz0rdzb2rkqkewx4v29qya3rknq.png,https://wiki.biligame.com/rocom/%E5%8F%AE%E5%8F%AE%E6%81%B6%E9%AD%94
032,毛毛,E:\luokewangguo\roco_world_data\data\spirit_images\032_毛毛.png,download,https://patchwiki.biligame.com/images/rocom/a/af/owgmiaowlsk52x3cjatoiowp9hq4d4u.png,https://wiki.biligame.com/rocom/%E6%AF%9B%E6%AF%9B
033,爬爬,E:\luokewangguo\roco_world_data\data\spirit_images\033_爬爬.png,existing,https://patchwiki.biligame.com/images/rocom/e/ea/524nzn85da28i54swvfzqbucowmlvu0.png,https://wiki.biligame.com/rocom/%E7%88%AC%E7%88%AC
034,化蝶（喵喵的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\034_化蝶（喵喵的样子）.png,download,https://patchwiki.biligame.com/images/rocom/b/bc/akfg87vt0fsk5792mxpn079onvax2bw.png,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%96%B5%E5%96%B5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
034,化蝶（奇丽花的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\034_化蝶（奇丽花的样子）.png,download,https://patchwiki.biligame.com/images/rocom/0/01/i102dqlqoqyiv1hoappms4prudfnx7i.png,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%A5%87%E4%B8%BD%E8%8A%B1%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
034,化蝶（平常的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\034_化蝶（平常的样子）.png,download,https://patchwiki.biligame.com/images/rocom/3/3b/s9jxu0z2vcq9ywb7wkgoyyyivr8hvsd.png,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%B3%E5%B8%B8%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
034,化蝶（幽冥眼的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\034_化蝶（幽冥眼的样子）.png,download,https://patchwiki.biligame.com/images/rocom/3/37/dquw6g29yuypnwprhvouq6yue9fkvw2.png,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%BD%E5%86%A5%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
035,幻影荆棘,E:\luokewangguo\roco_world_data\data\spirit_images\035_幻影荆棘.png,download,https://patchwiki.biligame.com/images/rocom/1/1f/bqzxnwv4tgh97jvh40eh3mtgp5kt8h4.png,https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E8%8D%86%E6%A3%98
036,小鼠獭,E:\luokewangguo\roco_world_data\data\spirit_images\036_小鼠獭.png,download,https://patchwiki.biligame.com/images/rocom/7/71/mhtudimorxc3o9un25icovvi9lahiza.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BC%A0%E7%8D%AD
037,燕尾獭,E:\luokewangguo\roco_world_data\data\spirit_images\037_燕尾獭.png,download,https://patchwiki.biligame.com/images/rocom/e/ed/4k5p223a49bec7iscjj7m5ouqdxrufa.png,https://wiki.biligame.com/rocom/%E7%87%95%E5%B0%BE%E7%8D%AD
038,卷胡巨獭,E:\luokewangguo\roco_world_data\data\spirit_images\038_卷胡巨獭.png,download,https://patchwiki.biligame.com/images/rocom/4/4d/h1d1rubaklvrkodj1fr4j8jyiaqho8z.png,https://wiki.biligame.com/rocom/%E5%8D%B7%E8%83%A1%E5%B7%A8%E7%8D%AD
039,矿晶虫,E:\luokewangguo\roco_world_data\data\spirit_images\039_矿晶虫.png,download,https://patchwiki.biligame.com/images/rocom/4/4b/rakgahc3c1vonzb7l1oypg0kwmhpi3z.png,https://wiki.biligame.com/rocom/%E7%9F%BF%E6%99%B6%E8%99%AB
040,晶石蜗（星彩榴石的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\040_晶石蜗（星彩榴石的样子）.png,download,https://patchwiki.biligame.com/images/rocom/f/f2/g2azc3v4bx59fpph1k35rctwlyp21ha.png,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E6%98%9F%E5%BD%A9%E6%A6%B4%E7%9F%B3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
040,晶石蜗（火山琉璃的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\040_晶石蜗（火山琉璃的样子）.png,download,https://patchwiki.biligame.com/images/rocom/2/2c/ourzhfziethzzrj1p9oktg8dmrimyj2.png,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E7%81%AB%E5%B1%B1%E7%90%89%E7%92%83%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
040,晶石蜗（烧蓝黄金的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\040_晶石蜗（烧蓝黄金的样子）.png,download,https://patchwiki.biligame.com/images/rocom/5/57/3oyv4lut7bhzug4lyjvrgmswvs1tq3r.png,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E7%83%A7%E8%93%9D%E9%BB%84%E9%87%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
040,晶石蜗（莲花刚玉的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\040_晶石蜗（莲花刚玉的样子）.png,download,https://patchwiki.biligame.com/images/rocom/3/34/hsgpczmg6133ymnyo8el4g4nylfmhrx.png,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%8E%B2%E8%8A%B1%E5%88%9A%E7%8E%89%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
040,晶石蜗（蓝锥矿的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\040_晶石蜗（蓝锥矿的样子）.png,download,https://patchwiki.biligame.com/images/rocom/c/cd/cyb7y777hcse9e1qe3qv9j11ed11s7i.png,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%93%9D%E9%94%A5%E7%9F%BF%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
040,晶石蜗（西瓜碧玺的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\040_晶石蜗（西瓜碧玺的样子）.png,download,https://patchwiki.biligame.com/images/rocom/a/a1/bllriabi2ywqr0cnc2au8wyehtcd21y.png,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%A5%BF%E7%93%9C%E7%A2%A7%E7%8E%BA%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
040,钻石蜗,E:\luokewangguo\roco_world_data\data\spirit_images\040_钻石蜗.png,download,https://patchwiki.biligame.com/images/rocom/c/c8/379ip1suh21uv2vx5tolxovf9q121a7.png,https://wiki.biligame.com/rocom/%E9%92%BB%E7%9F%B3%E8%9C%97
041,奇丽草,E:\luokewangguo\roco_world_data\data\spirit_images\041_奇丽草.png,download,https://patchwiki.biligame.com/images/rocom/1/1f/kv2w95rommythz2es62viqib0edez2m.png,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8D%89
